iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-03 5.0000e-03 21 4.0000e-01 1.0954e+01 -2.4115e-09 -1.3928e-10 -2.1107e-09 0.0000e+00 0.0000e+00
1 1.2523e-03 5.2500e-03 22 4.0000e-01 1.0954e+01 -2.8025e-09 -1.5395e-10 -2.4529e-09 8.1073e+08 4.0000e-01
2 1.2546e-03 5.5000e-03 23 4.0000e-01 1.0954e+01 -3.2337e-09 -1.6936e-10 -2.8302e-09 3.2837e+08 4.0000e-01
3 1.2568e-03 5.7500e-03 24 4.0000e-01 1.0954e+01 -3.7069e-09 -1.8550e-10 -3.2442e-09 2.0621e+08 4.0000e-01
4 1.2591e-03 6.0000e-03 25 4.0000e-01 1.0954e+01 -4.2242e-09 -2.0237e-10 -3.6969e-09 1.6291e+08 4.0000e-01
5 1.2614e-03 6.2500e-03 26 4.0000e-01 1.0954e+01 -4.7874e-09 -2.1998e-10 -4.1897e-09 1.2767e+08 4.0000e-01
6 1.2637e-03 6.5000e-03 27 4.0000e-01 1.0954e+01 -5.3985e-09 -2.3832e-10 -4.7245e-09 4.3066e+07 4.0000e-01
7 1.2660e-03 6.7500e-03 28 4.0000e-01 1.0954e+01 -6.0595e-09 -2.5740e-10 -5.3029e-09 4.0004e+07 4.0000e-01
8 1.2683e-03 7.0000e-03 29 4.0000e-01 1.0954e+01 -6.7724e-09 -2.7721e-10 -5.9267e-09 3.7354e+07 4.0000e-01
9 1.2705e-03 7.2500e-03 30 4.0000e-01 1.0954e+01 -7.5391e-09 -2.9775e-10 -6.5976e-09 3.4640e+07 4.0000e-01
10 1.2728e-03 7.5000e-03 31 4.0000e-01 1.0954e+01 -8.3615e-09 -3.1902e-10 -7.3172e-09 3.2546e+07 4.0000e-01
11 1.2751e-03 7.7500e-03 32 4.0000e-01 1.0954e+01 -9.2417e-09 -3.4103e-10 -8.0874e-09 3.0319e+07 4.0000e-01
12 1.2774e-03 8.0000e-03 33 4.0000e-01 1.0954e+01 -1.0181e-08 -3.6378e-10 -8.9097e-09 2.8633e+07 4.0000e-01
13 1.2797e-03 8.2500e-03 34 4.0000e-01 1.0954e+01 -1.1183e-08 -3.8725e-10 -9.7860e-09 2.6780e+07 4.0000e-01
14 1.2820e-03 8.5000e-03 35 4.0000e-01 1.0954e+01 -1.2248e-08 -4.1146e-10 -1.0718e-08 2.5400e+07 4.0000e-01
15 1.2842e-03 8.7500e-03 36 4.0000e-01 1.0954e+01 -1.3378e-08 -4.3641e-10 -1.1707e-08 2.3838e+07 4.0000e-01
16 1.2865e-03 9.0000e-03 37 4.0000e-01 1.0954e+01 -1.4576e-08 -4.6208e-10 -1.2755e-08 2.2694e+07 4.0000e-01
17 1.2888e-03 9.2500e-03 38 4.0000e-01 1.0954e+01 -1.5844e-08 -4.8849e-10 -1.3865e-08 2.1366e+07 4.0000e-01
18 1.2911e-03 9.5000e-03 39 4.0000e-01 1.0954e+01 -1.7183e-08 -5.1564e-10 -1.5036e-08 2.0408e+07 4.0000e-01
19 1.2934e-03 9.7500e-03 40 4.0000e-01 1.0954e+01 -1.8595e-08 -5.4351e-10 -1.6272e-08 1.9263e+07 4.0000e-01
20 1.2956e-03 1.0000e-02 41 4.0000e-01 1.0954e+01 -2.0083e-08 -5.7212e-10 -1.7573e-08 1.8220e+07 4.0000e-01
21 1.2979e-03 1.0250e-02 42 4.0000e-01 1.0954e+01 -2.1647e-08 -6.0147e-10 -1.8943e-08 1.7463e+07 4.0000e-01
22 1.3002e-03 1.0500e-02 43 4.0000e-01 1.0954e+01 -2.3291e-08 -6.3155e-10 -2.0381e-08 1.6557e+07 4.0000e-01
23 1.3025e-03 1.0750e-02 44 4.0000e-01 1.0954e+01 -2.5017e-08 -6.6236e-10 -2.1891e-08 1.5908e+07 4.0000e-01
24 1.3048e-03 1.1000e-02 45 4.0000e-01 1.0954e+01 -2.6825e-08 -6.9390e-10 -2.3473e-08 1.5116e+07 4.0000e-01
25 1.3071e-03 1.1250e-02 46 4.0000e-01 1.0954e+01 -2.8718e-08 -7.2618e-10 -2.5130e-08 1.4383e+07 4.0000e-01
26 1.3093e-03 1.1500e-02 47 4.0000e-01 1.0954e+01 -3.0699e-08 -7.5919e-10 -2.6863e-08 1.3857e+07 4.0000e-01
27 1.3116e-03 1.1750e-02 48 4.0000e-01 1.0954e+01 -3.2768e-08 -7.9293e-10 -2.8674e-08 1.3208e+07 4.0000e-01
28 1.3139e-03 1.2000e-02 49 4.0000e-01 1.0954e+01 -3.4929e-08 -8.2741e-10 -3.0564e-08 1.2749e+07 4.0000e-01
29 1.3162e-03 1.2250e-02 50 4.0000e-01 1.0954e+01 -3.7182e-08 -8.6262e-10 -3.2536e-08 1.2177e+07 4.0000e-01
30 1.3185e-03 1.2500e-02 51 4.0000e-01 1.0954e+01 -3.9530e-08 -8.9857e-10 -3.4591e-08 1.1642e+07 4.0000e-01
31 1.3207e-03 1.2750e-02 52 4.0000e-01 1.0954e+01 -4.1975e-08 -9.3524e-10 -3.6730e-08 1.1262e+07 4.0000e-01
32 1.3230e-03 1.3000e-02 53 4.0000e-01 1.0954e+01 -4.4519e-08 -9.7265e-10 -3.8956e-08 1.0786e+07 4.0000e-01
33 1.3253e-03 1.3250e-02 54 4.0000e-01 1.0954e+01 -4.7164e-08 -1.0108e-09 -4.1270e-08 1.0449e+07 4.0000e-01
34 1.3276e-03 1.3500e-02 55 4.0000e-01 1.0954e+01 -4.9911e-08 -1.0497e-09 -4.3674e-08 1.0020e+07 4.0000e-01
35 1.3299e-03 1.3750e-02 56 4.0000e-01 1.0954e+01 -5.2763e-08 -1.0893e-09 -4.6169e-08 9.6186e+06 4.0000e-01
36 1.3322e-03 1.4000e-02 57 4.0000e-01 1.0954e+01 -5.5721e-08 -1.1296e-09 -4.8758e-08 9.3338e+06 4.0000e-01
37 1.3344e-03 1.4250e-02 58 4.0000e-01 1.0954e+01 -5.8788e-08 -1.1707e-09 -5.1441e-08 8.9738e+06 4.0000e-01
38 1.3367e-03 1.4500e-02 59 4.0000e-01 1.0954e+01 -6.1965e-08 -1.2125e-09 -5.4221e-08 8.7189e+06 4.0000e-01
39 1.3390e-03 1.4500e-02 59 4.0000e-01 1.0954e+01 -6.1965e-08 -1.2125e-09 -5.4221e-08 8.3902e+06 4.0000e-01
40 1.3413e-03 1.4500e-02 59 4.0000e-01 1.0954e+01 -6.1965e-08 -1.2125e-09 -5.4221e-08 8.1607e+06 4.0000e-01
41 1.3436e-03 1.4500e-02 59 4.0000e-01 1.0954e+01 -6.1965e-08 -1.2125e-09 -5.4221e-08 7.9434e+06 4.0000e-01
42 1.3459e-03 1.4500e-02 59 4.0000e-01 1.0954e+01 -6.1965e-08 -1.2125e-09 -5.4221e-08 7.7374e+06 4.0000e-01
43 1.3481e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 7.3817e+06 4.0000e-01
44 1.3504e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 7.1938e+06 4.0000e-01
45 1.3527e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 7.0153e+06 4.0000e-01
46 1.3550e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 6.8454e+06 4.0000e-01
47 1.3573e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 6.6835e+06 4.0000e-01
48 1.3595e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 6.5291e+06 4.0000e-01
49 1.3618e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 6.3817e+06 4.0000e-01
50 1.3641e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 6.2407e+06 4.0000e-01
51 1.3664e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 6.1059e+06 4.0000e-01
52 1.3687e-03 1.4750e-02 60 4.0000e-01 1.0954e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 5.9768e+06 4.0000e-01
53 1.3710e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 5.5887e+06 4.0000e-01
54 1.3732e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 5.4692e+06 4.0000e-01
55 1.3755e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 5.3547e+06 4.0000e-01
56 1.3778e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 5.2449e+06 4.0000e-01
57 1.3801e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 5.1395e+06 4.0000e-01
58 1.3824e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 5.0382e+06 4.0000e-01
59 1.3846e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 4.9409e+06 4.0000e-01
60 1.3869e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 4.8472e+06 4.0000e-01
61 1.3892e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 4.7571e+06 4.0000e-01
62 1.3915e-03 1.5000e-02 61 4.0000e-01 1.0954e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 4.6702e+06 4.0000e-01
63 1.3938e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.4313e+06 4.0000e-01
64 1.3961e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.3988e+06 4.0000e-01
65 1.3983e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.3210e+06 4.0000e-01
66 1.4006e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.2459e+06 4.0000e-01
67 1.4029e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.1734e+06 4.0000e-01
68 1.4052e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.1033e+06 4.0000e-01
69 1.4075e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 4.0355e+06 4.0000e-01
70 1.4098e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 3.9699e+06 4.0000e-01
71 1.4120e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 3.9065e+06 4.0000e-01
72 1.4143e-03 1.5250e-02 62 4.0000e-01 1.0954e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 3.8450e+06 4.0000e-01
73 1.4166e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.6930e+06 4.0000e-01
74 1.4189e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.6356e+06 4.0000e-01
75 1.4212e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.5799e+06 4.0000e-01
76 1.4234e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.5259e+06 4.0000e-01
77 1.4257e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.4736e+06 4.0000e-01
78 1.4280e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.4227e+06 4.0000e-01
79 1.4303e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.3733e+06 4.0000e-01
80 1.4326e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.3253e+06 4.0000e-01
81 1.4349e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.2787e+06 4.0000e-01
82 1.4371e-03 1.5500e-02 63 4.0000e-01 1.0954e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 3.2333e+06 4.0000e-01
83 1.4394e-03 1.5750e-02 64 4.0000e-01 1.0954e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 3.1102e+06 4.0000e-01
84 1.4417e-03 1.5750e-02 64 4.0000e-01 1.0954e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 3.0677e+06 4.0000e-01
85 1.4440e-03 1.5750e-02 64 4.0000e-01 1.0954e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 3.0263e+06 4.0000e-01
86 1.4463e-03 1.5750e-02 64 4.0000e-01 1.0954e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 2.9860e+06 4.0000e-01
87 1.4485e-03 1.5750e-02 64 4.0000e-01 1.0954e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 2.9468e+06 4.0000e-01
88 1.4508e-03 1.5750e-02 64 4.0000e-01 1.0954e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 2.9086e+06 4.0000e-01
