iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
39 1.6696e+00 5.6000e-01 29 3.9997e-01 1.7305e-01 -2.9195e-05 -1.1840e-06 -2.5497e-05 4.2166e+03 3.9997e-01
40 1.6811e+00 5.6000e-01 29 3.9997e-01 1.7246e-01 -2.9194e-05 -1.1840e-06 -2.5497e-05 4.0947e+03 3.9997e-01
41 1.6927e+00 5.8000e-01 30 3.9997e-01 1.7187e-01 -3.2124e-05 -1.2562e-06 -2.8051e-05 3.9813e+03 3.9997e-01
42 1.7044e+00 5.8000e-01 30 3.9997e-01 1.7128e-01 -3.2124e-05 -1.2562e-06 -2.8051e-05 3.8736e+03 3.9997e-01
43 1.7161e+00 5.8000e-01 30 3.9997e-01 1.7069e-01 -3.2123e-05 -1.2562e-06 -2.8050e-05 3.7712e+03 3.9997e-01
44 1.7278e+00 5.8000e-01 30 3.9997e-01 1.7011e-01 -3.2123e-05 -1.2562e-06 -2.8050e-05 3.6738e+03 3.9997e-01
45 1.7395e+00 5.8000e-01 30 3.9997e-01 1.6954e-01 -3.2123e-05 -1.2562e-06 -2.8050e-05 3.5810e+03 3.9997e-01
46 1.7513e+00 5.8000e-01 30 3.9997e-01 1.6897e-01 -3.2123e-05 -1.2562e-06 -2.8050e-05 3.4925e+03 3.9997e-01
47 1.7632e+00 5.8000e-01 30 3.9996e-01 1.6840e-01 -3.2123e-05 -1.2562e-06 -2.8050e-05 3.4079e+03 3.9996e-01
48 1.7750e+00 5.8000e-01 30 3.9996e-01 1.6783e-01 -3.2122e-05 -1.2562e-06 -2.8049e-05 3.3271e+03 3.9996e-01
49 1.7870e+00 5.8000e-01 30 3.9996e-01 1.6727e-01 -3.2122e-05 -1.2562e-06 -2.8049e-05 3.2498e+03 3.9996e-01
50 1.7989e+00 5.8000e-01 30 3.9996e-01 1.6672e-01 -3.2122e-05 -1.2561e-06 -2.8049e-05 3.1757e+03 3.9996e-01
51 1.8109e+00 6.0000e-01 31 3.9996e-01 1.6616e-01 -3.5205e-05 -1.3290e-06 -3.0736e-05 1.0708e+03 3.9996e-01
52 1.8229e+00 6.0000e-01 31 3.9996e-01 1.6561e-01 -3.5205e-05 -1.3290e-06 -3.0736e-05 1.0623e+03 3.9996e-01
53 1.8350e+00 6.0000e-01 31 3.9996e-01 1.6507e-01 -3.5205e-05 -1.3290e-06 -3.0736e-05 1.0540e+03 3.9996e-01
54 1.8471e+00 6.0000e-01 31 3.9996e-01 1.6453e-01 -3.5204e-05 -1.3290e-06 -3.0736e-05 1.0457e+03 3.9996e-01
55 1.8593e+00 6.0000e-01 31 3.9996e-01 1.6399e-01 -3.5204e-05 -1.3290e-06 -3.0735e-05 1.0375e+03 3.9996e-01
56 1.8715e+00 6.0000e-01 31 3.9996e-01 1.6345e-01 -3.5204e-05 -1.3290e-06 -3.0735e-05 1.0294e+03 3.9996e-01
57 1.8837e+00 6.0000e-01 31 3.9996e-01 1.6292e-01 -3.5203e-05 -1.3290e-06 -3.0735e-05 1.0215e+03 3.9996e-01
58 1.8960e+00 6.0000e-01 31 3.9995e-01 1.6239e-01 -3.5203e-05 -1.3290e-06 -3.0735e-05 1.0136e+03 3.9995e-01
59 1.9083e+00 6.0000e-01 31 3.9995e-01 1.6187e-01 -3.5203e-05 -1.3290e-06 -3.0734e-05 1.0058e+03 3.9995e-01
60 1.9207e+00 6.0000e-01 31 3.9995e-01 1.6135e-01 -3.5203e-05 -1.3290e-06 -3.0734e-05 9.9813e+02 3.9995e-01
61 1.9331e+00 6.2000e-01 32 3.9996e-01 1.6083e-01 -3.8438e-05 -1.4025e-06 -3.3554e-05 9.9069e+02 3.9996e-01
62 1.9455e+00 6.2000e-01 32 3.9995e-01 1.6031e-01 -3.8438e-05 -1.4025e-06 -3.3553e-05 9.8332e+02 3.9995e-01
63 1.9580e+00 6.2000e-01 32 3.9995e-01 1.5980e-01 -3.8438e-05 -1.4025e-06 -3.3553e-05 9.7604e+02 3.9995e-01
64 1.9705e+00 6.2000e-01 32 3.9995e-01 1.5929e-01 -3.8438e-05 -1.4025e-06 -3.3553e-05 9.6884e+02 3.9995e-01
65 1.9830e+00 6.2000e-01 32 3.9995e-01 1.5879e-01 -3.8437e-05 -1.4024e-06 -3.3552e-05 9.6173e+02 3.9995e-01
66 1.9956e+00 6.2000e-01 32 3.9995e-01 1.5829e-01 -3.8437e-05 -1.4024e-06 -3.3552e-05 9.5470e+02 3.9995e-01
67 2.0083e+00 6.2000e-01 32 3.9995e-01 1.5779e-01 -3.8437e-05 -1.4024e-06 -3.3552e-05 9.4775e+02 3.9995e-01
68 2.0210e+00 6.2000e-01 32 3.9995e-01 1.5729e-01 -3.8436e-05 -1.4024e-06 -3.3552e-05 9.4088e+02 3.9995e-01
69 2.0337e+00 6.2000e-01 32 3.9994e-01 1.5680e-01 -3.8436e-05 -1.4024e-06 -3.3551e-05 9.3408e+02 3.9994e-01
