iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-01 5.0000e-01 21 4.0000e-01 1.5492e+01 -2.1020e-05 -1.2054e-06 -1.8369e-05 0.0000e+00 0.0000e+00
1 1.2516e-01 5.2500e-01 22 4.0000e-01 1.5492e+01 -2.4104e-05 -1.3137e-06 -2.1059e-05 1.3516e+07 4.0000e-01
2 1.2532e-01 5.5000e-01 23 4.0000e-01 1.5492e+01 -2.7428e-05 -1.4241e-06 -2.3959e-05 5.4245e+06 4.0000e-01
3 1.2548e-01 5.7500e-01 24 4.0000e-01 1.5492e+01 -3.0995e-05 -1.5363e-06 -2.7069e-05 3.4198e+06 4.0000e-01
4 1.2565e-01 6.0000e-01 25 4.0000e-01 1.5492e+01 -3.4802e-05 -1.6500e-06 -3.0387e-05 2.7137e+06 4.0000e-01
5 1.2581e-01 6.2500e-01 26 4.0000e-01 1.5492e+01 -3.8848e-05 -1.7649e-06 -3.3913e-05 2.1492e+06 4.0000e-01
6 1.2597e-01 6.5000e-01 27 4.0000e-01 1.5492e+01 -4.3130e-05 -1.8808e-06 -3.7643e-05 7.1731e+05 4.0000e-01
7 1.2613e-01 6.7500e-01 28 4.0000e-01 1.5492e+01 -4.7647e-05 -1.9973e-06 -4.1576e-05 6.7024e+05 4.0000e-01
8 1.2629e-01 7.0000e-01 29 4.0000e-01 1.5492e+01 -5.2393e-05 -2.1141e-06 -4.5706e-05 6.2997e+05 4.0000e-01
9 1.2645e-01 7.2500e-01 30 4.0000e-01 1.5492e+01 -5.7364e-05 -2.2311e-06 -5.0032e-05 5.9213e+05 4.0000e-01
10 1.2661e-01 7.5000e-01 31 4.0000e-01 1.5492e+01 -6.2556e-05 -2.3479e-06 -5.4547e-05 5.6028e+05 4.0000e-01
11 1.2678e-01 7.7500e-01 32 4.0000e-01 1.5492e+01 -6.7963e-05 -2.4644e-06 -5.9247e-05 5.2919e+05 4.0000e-01
12 1.2694e-01 8.0000e-01 33 4.0000e-01 1.5492e+01 -7.3580e-05 -2.5804e-06 -6.4127e-05 5.0353e+05 4.0000e-01
13 1.2710e-01 8.2500e-01 34 4.0000e-01 1.5492e+01 -7.9401e-05 -2.6956e-06 -6.9182e-05 4.7763e+05 4.0000e-01
14 1.2726e-01 8.5000e-01 35 4.0000e-01 1.5492e+01 -8.5420e-05 -2.8099e-06 -7.4406e-05 4.5663e+05 4.0000e-01
15 1.2742e-01 8.7500e-01 36 4.0000e-01 1.5492e+01 -9.1630e-05 -2.9232e-06 -7.9794e-05 4.3480e+05 4.0000e-01
16 1.2758e-01 9.0000e-01 37 4.0000e-01 1.5492e+01 -9.8025e-05 -3.0353e-06 -8.5340e-05 4.1739e+05 4.0000e-01
