iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 5.0000e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 0.0000e+00 0.0000e+00
1 5.0200e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 9.5132e+05 4.0000e-01
2 5.0400e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 4.7566e+05 4.0000e-01
3 5.0600e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 3.1711e+05 4.0000e-01
4 5.0800e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 2.3783e+05 4.0000e-01
5 5.1000e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.9026e+05 4.0000e-01
6 5.1200e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.5855e+05 4.0000e-01
7 5.1400e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.3590e+05 4.0000e-01
8 5.1600e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.1891e+05 4.0000e-01
9 5.1800e-01 5.0000e-03 26 4.0000e-01 1.0000e-02 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.0570e+05 4.0000e-01
10 5.2000e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 7.2066e+04 4.0000e-01
11 5.2200e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 6.5528e+04 4.0000e-01
12 5.2400e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 6.0077e+04 4.0000e-01
13 5.2600e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 5.8245e+04 4.0000e-01
14 5.2800e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 5.4091e+04 4.0000e-01
15 5.3000e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 5.0491e+04 4.0000e-01
16 5.3200e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 4.7340e+04 4.0000e-01
17 5.3400e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 4.4560e+04 4.0000e-01
18 5.3600e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 4.4331e+04 4.0000e-01
19 5.3800e-01 5.2000e-03 27 4.0000e-01 1.0000e-02 -2.7641e-09 -1.2202e-10 -2.4190e-09 4.2001e+04 4.0000e-01
20 5.4000e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 4.2123e+04 4.0000e-01
21 5.4200e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 3.9702e+04 4.0000e-01
22 5.4400e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 3.7545e+04 4.0000e-01
23 5.4600e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 3.5609e+04 4.0000e-01
24 5.4800e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 3.0081e+04 4.0000e-01
25 5.5000e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 2.8881e+04 4.0000e-01
26 5.5200e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 2.7773e+04 4.0000e-01
27 5.5400e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 2.6747e+04 4.0000e-01
28 5.5600e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 2.5794e+04 4.0000e-01
29 5.5800e-01 5.4000e-03 28 4.0000e-01 1.0000e-02 -3.1025e-09 -1.3179e-10 -2.7151e-09 2.4907e+04 4.0000e-01
30 5.6000e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.6170e+04 4.0000e-01
31 5.6200e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.5217e+04 4.0000e-01
32 5.6400e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.4331e+04 4.0000e-01
33 5.6600e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.3505e+04 4.0000e-01
34 5.6800e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.2733e+04 4.0000e-01
35 5.7000e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.2011e+04 4.0000e-01
36 5.7200e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.1333e+04 4.0000e-01
37 5.7400e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.0695e+04 4.0000e-01
38 5.7600e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 2.0094e+04 4.0000e-01
39 5.7800e-01 5.6000e-03 29 4.0000e-01 1.0000e-02 -3.4675e-09 -1.4193e-10 -3.0345e-09 1.9528e+04 4.0000e-01
40 5.8000e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.8993e+04 4.0000e-01
41 5.8200e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.8487e+04 4.0000e-01
42 5.8400e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.8008e+04 4.0000e-01
43 5.8600e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.7552e+04 4.0000e-01
44 5.8800e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.7119e+04 4.0000e-01
45 5.9000e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.6707e+04 4.0000e-01
46 5.9200e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.6315e+04 4.0000e-01
47 5.9400e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.5940e+04 4.0000e-01
48 5.9600e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.5582e+04 4.0000e-01
49 5.9800e-01 5.8000e-03 30 4.0000e-01 1.0000e-02 -3.8601e-09 -1.5245e-10 -3.3780e-09 1.5240e+04 4.0000e-01
50 6.0000e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.2383e+03 4.0000e-01
51 6.0200e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.1974e+03 4.0000e-01
52 6.0400e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.1571e+03 4.0000e-01
53 6.0600e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.1174e+03 4.0000e-01
54 6.0800e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.0783e+03 4.0000e-01
55 6.1000e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.0398e+03 4.0000e-01
56 6.1200e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 5.0019e+03 4.0000e-01
57 6.1400e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 4.9645e+03 4.0000e-01
58 6.1600e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 4.9278e+03 4.0000e-01
59 6.1800e-01 6.0000e-03 31 4.0000e-01 1.0000e-02 -4.2811e-09 -1.6334e-10 -3.7465e-09 4.8915e+03 4.0000e-01
60 6.2000e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.8559e+03 4.0000e-01
61 6.2200e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.8207e+03 4.0000e-01
62 6.2400e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.7861e+03 4.0000e-01
63 6.2600e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.7520e+03 4.0000e-01
64 6.2800e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.7184e+03 4.0000e-01
65 6.3000e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.6852e+03 4.0000e-01
66 6.3200e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.6525e+03 4.0000e-01
67 6.3400e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.6202e+03 4.0000e-01
68 6.3600e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.5884e+03 4.0000e-01
69 6.3800e-01 6.2000e-03 32 4.0000e-01 1.0000e-02 -4.7318e-09 -1.7461e-10 -4.1408e-09 4.5570e+03 4.0000e-01
70 6.4000e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.5262e+03 4.0000e-01
71 6.4200e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.4957e+03 4.0000e-01
72 6.4400e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.4656e+03 4.0000e-01
73 6.4600e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.4360e+03 4.0000e-01
74 6.4800e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.4067e+03 4.0000e-01
75 6.5000e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.3778e+03 4.0000e-01
76 6.5200e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.3493e+03 4.0000e-01
77 6.5400e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.3212e+03 4.0000e-01
78 6.5600e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.2934e+03 4.0000e-01
79 6.5800e-01 6.4000e-03 33 4.0000e-01 1.0000e-02 -5.2130e-09 -1.8626e-10 -4.5618e-09 4.2660e+03 4.0000e-01
80 6.6000e-01 6.6000e-03 34 4.0000e-01 1.0000e-02 -5.7257e-09 -1.9828e-10 -5.0105e-09 3.9675e+03 4.0000e-01
81 6.6200e-01 6.6000e-03 34 4.0000e-01 1.0000e-02 -5.7257e-09 -1.9828e-10 -5.0105e-09 3.9430e+03 4.0000e-01
82 6.6400e-01 6.6000e-03 34 4.0000e-01 1.0000e-02 -5.7257e-09 -1.9828e-10 -5.0105e-09 3.9189e+03 4.0000e-01
83 6.6600e-01 6.6000e-03 34 4.0000e-01 1.0000e-02 -5.7257e-09 -1.9828e-10 -5.0105e-09 3.8951e+03 4.0000e-01
84 6.6800e-01 6.6000e-03 34 4.0000e-01 1.0000e-02 -5.7257e-09 -1.9828e-10 -5.0105e-09 3.8716e+03 4.0000e-01
