iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-03 5.0000e-03 26 4.0000e-01 2.0000e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 0.0000e+00 0.0000e+00
1 1.2600e-03 5.0000e-03 26 4.0000e-01 1.9920e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.9028e+08 4.0000e-01
2 1.2700e-03 5.0000e-03 26 4.0000e-01 1.9842e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 9.4963e+07 4.0000e-01
3 1.2801e-03 5.0000e-03 26 4.0000e-01 1.9763e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 6.3175e+07 4.0000e-01
4 1.2902e-03 5.0000e-03 26 4.0000e-01 1.9686e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 4.7282e+07 4.0000e-01
5 1.3004e-03 5.0000e-03 26 4.0000e-01 1.9609e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 3.7754e+07 4.0000e-01
6 1.3106e-03 5.0000e-03 26 4.0000e-01 1.9532e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 3.1399e+07 4.0000e-01
7 1.3208e-03 5.0000e-03 26 4.0000e-01 1.9456e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 2.6859e+07 4.0000e-01
8 1.3311e-03 5.0000e-03 26 4.0000e-01 1.9381e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 2.3455e+07 4.0000e-01
9 1.3414e-03 5.0000e-03 26 4.0000e-01 1.9306e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 2.0807e+07 4.0000e-01
10 1.3518e-03 5.0000e-03 26 4.0000e-01 1.9232e+00 -2.4512e-09 -1.1263e-10 -2.1451e-09 1.8690e+07 4.0000e-01
11 1.3622e-03 5.2000e-03 27 4.0000e-01 1.9159e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 1.9386e+07 4.0000e-01
12 1.3726e-03 5.2000e-03 27 4.0000e-01 1.9086e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 1.1756e+07 4.0000e-01
13 1.3831e-03 5.2000e-03 27 4.0000e-01 1.9013e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 1.0832e+07 4.0000e-01
14 1.3936e-03 5.2000e-03 27 4.0000e-01 1.8941e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 1.0542e+07 4.0000e-01
15 1.4042e-03 5.2000e-03 27 4.0000e-01 1.8870e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 9.8214e+06 4.0000e-01
16 1.4148e-03 5.2000e-03 27 4.0000e-01 1.8799e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 9.1908e+06 4.0000e-01
17 1.4254e-03 5.2000e-03 27 4.0000e-01 1.8729e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 8.6343e+06 4.0000e-01
18 1.4361e-03 5.2000e-03 27 4.0000e-01 1.8659e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 8.1397e+06 4.0000e-01
19 1.4468e-03 5.2000e-03 27 4.0000e-01 1.8590e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 8.1082e+06 4.0000e-01
20 1.4576e-03 5.2000e-03 27 4.0000e-01 1.8521e+00 -2.7641e-09 -1.2202e-10 -2.4190e-09 7.6885e+06 4.0000e-01
21 1.4684e-03 5.4000e-03 28 4.0000e-01 1.8453e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 7.7767e+06 4.0000e-01
22 1.4792e-03 5.4000e-03 28 4.0000e-01 1.8385e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 7.3296e+06 4.0000e-01
23 1.4901e-03 5.4000e-03 28 4.0000e-01 1.8318e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 6.9297e+06 4.0000e-01
24 1.5010e-03 5.4000e-03 28 4.0000e-01 1.8251e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 6.5700e+06 4.0000e-01
25 1.5120e-03 5.4000e-03 28 4.0000e-01 1.8185e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 5.5115e+06 4.0000e-01
26 1.5230e-03 5.4000e-03 28 4.0000e-01 1.8119e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 5.2900e+06 4.0000e-01
27 1.5340e-03 5.4000e-03 28 4.0000e-01 1.8054e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 5.0849e+06 4.0000e-01
28 1.5451e-03 5.4000e-03 28 4.0000e-01 1.7989e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 4.8945e+06 4.0000e-01
29 1.5562e-03 5.4000e-03 28 4.0000e-01 1.7925e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 4.7172e+06 4.0000e-01
30 1.5674e-03 5.4000e-03 28 4.0000e-01 1.7861e+00 -3.1025e-09 -1.3179e-10 -2.7151e-09 4.5517e+06 4.0000e-01
31 1.5786e-03 5.6000e-03 29 4.0000e-01 1.7797e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 4.8006e+06 4.0000e-01
32 1.5898e-03 5.6000e-03 29 4.0000e-01 1.7734e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 4.6206e+06 4.0000e-01
33 1.6011e-03 5.6000e-03 29 4.0000e-01 1.7672e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 4.4531e+06 4.0000e-01
34 1.6124e-03 5.6000e-03 29 4.0000e-01 1.7610e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 4.2967e+06 4.0000e-01
35 1.6238e-03 5.6000e-03 29 4.0000e-01 1.7548e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 4.1505e+06 4.0000e-01
36 1.6352e-03 5.6000e-03 29 4.0000e-01 1.7487e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 4.0134e+06 4.0000e-01
37 1.6466e-03 5.6000e-03 29 4.0000e-01 1.7426e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 3.8847e+06 4.0000e-01
38 1.6581e-03 5.6000e-03 29 4.0000e-01 1.7365e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 3.7635e+06 4.0000e-01
39 1.6696e-03 5.6000e-03 29 4.0000e-01 1.7305e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 3.6493e+06 4.0000e-01
40 1.6811e-03 5.6000e-03 29 4.0000e-01 1.7246e+00 -3.4675e-09 -1.4193e-10 -3.0345e-09 3.5414e+06 4.0000e-01
41 1.6927e-03 5.8000e-03 30 4.0000e-01 1.7187e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 3.4397e+06 4.0000e-01
42 1.7044e-03 5.8000e-03 30 4.0000e-01 1.7128e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 3.3433e+06 4.0000e-01
43 1.7161e-03 5.8000e-03 30 4.0000e-01 1.7069e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 3.2518e+06 4.0000e-01
44 1.7278e-03 5.8000e-03 30 4.0000e-01 1.7011e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 3.1650e+06 4.0000e-01
45 1.7395e-03 5.8000e-03 30 4.0000e-01 1.6954e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 3.0823e+06 4.0000e-01
46 1.7513e-03 5.8000e-03 30 4.0000e-01 1.6897e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 3.0036e+06 4.0000e-01
47 1.7632e-03 5.8000e-03 30 4.0000e-01 1.6840e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 2.9286e+06 4.0000e-01
48 1.7750e-03 5.8000e-03 30 4.0000e-01 1.6783e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 2.8571e+06 4.0000e-01
49 1.7870e-03 5.8000e-03 30 4.0000e-01 1.6727e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 2.7887e+06 4.0000e-01
50 1.7989e-03 5.8000e-03 30 4.0000e-01 1.6672e+00 -3.8601e-09 -1.5245e-10 -3.3780e-09 2.7233e+06 4.0000e-01
51 1.8109e-03 6.0000e-03 31 4.0000e-01 1.6616e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 9.2737e+05 4.0000e-01
52 1.8229e-03 6.0000e-03 31 4.0000e-01 1.6561e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 9.1965e+05 4.0000e-01
53 1.8350e-03 6.0000e-03 31 4.0000e-01 1.6507e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 9.1203e+05 4.0000e-01
54 1.8471e-03 6.0000e-03 31 4.0000e-01 1.6453e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 9.0452e+05 4.0000e-01
55 1.8593e-03 6.0000e-03 31 4.0000e-01 1.6399e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 8.9710e+05 4.0000e-01
56 1.8715e-03 6.0000e-03 31 4.0000e-01 1.6345e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 8.8978e+05 4.0000e-01
57 1.8837e-03 6.0000e-03 31 4.0000e-01 1.6292e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 8.8256e+05 4.0000e-01
58 1.8960e-03 6.0000e-03 31 4.0000e-01 1.6239e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 8.7543e+05 4.0000e-01
59 1.9083e-03 6.0000e-03 31 4.0000e-01 1.6187e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 8.6839e+05 4.0000e-01
60 1.9207e-03 6.0000e-03 31 4.0000e-01 1.6135e+00 -4.2812e-09 -1.6334e-10 -3.7465e-09 8.6144e+05 4.0000e-01
61 1.9331e-03 6.2000e-03 32 4.0000e-01 1.6083e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.5459e+05 4.0000e-01
62 1.9455e-03 6.2000e-03 32 4.0000e-01 1.6031e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.4783e+05 4.0000e-01
63 1.9580e-03 6.2000e-03 32 4.0000e-01 1.5980e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.4116e+05 4.0000e-01
64 1.9705e-03 6.2000e-03 32 4.0000e-01 1.5929e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.3456e+05 4.0000e-01
65 1.9830e-03 6.2000e-03 32 4.0000e-01 1.5879e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.2806e+05 4.0000e-01
66 1.9956e-03 6.2000e-03 32 4.0000e-01 1.5829e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.2163e+05 4.0000e-01
67 2.0083e-03 6.2000e-03 32 4.0000e-01 1.5779e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.1528e+05 4.0000e-01
68 2.0210e-03 6.2000e-03 32 4.0000e-01 1.5729e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.0901e+05 4.0000e-01
69 2.0337e-03 6.2000e-03 32 4.0000e-01 1.5680e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 8.0281e+05 4.0000e-01
70 2.0464e-03 6.2000e-03 32 4.0000e-01 1.5631e+00 -4.7318e-09 -1.7461e-10 -4.1408e-09 7.9669e+05 4.0000e-01
71 2.0592e-03 6.4000e-03 33 4.0000e-01 1.5582e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.9066e+05 4.0000e-01
72 2.0721e-03 6.4000e-03 33 4.0000e-01 1.5534e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.8470e+05 4.0000e-01
73 2.0849e-03 6.4000e-03 33 4.0000e-01 1.5486e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.7881e+05 4.0000e-01
74 2.0978e-03 6.4000e-03 33 4.0000e-01 1.5438e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.7299e+05 4.0000e-01
75 2.1108e-03 6.4000e-03 33 4.0000e-01 1.5391e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.6723e+05 4.0000e-01
76 2.1238e-03 6.4000e-03 33 4.0000e-01 1.5344e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.6155e+05 4.0000e-01
77 2.1368e-03 6.4000e-03 33 4.0000e-01 1.5297e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.5593e+05 4.0000e-01
78 2.1499e-03 6.4000e-03 33 4.0000e-01 1.5250e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.5038e+05 4.0000e-01
79 2.1630e-03 6.4000e-03 33 4.0000e-01 1.5204e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.4490e+05 4.0000e-01
80 2.1762e-03 6.4000e-03 33 4.0000e-01 1.5158e+00 -5.2130e-09 -1.8626e-10 -4.5619e-09 7.3947e+05 4.0000e-01
81 2.1894e-03 6.6000e-03 34 4.0000e-01 1.5112e+00 -5.7257e-09 -1.9828e-10 -5.0105e-09 7.1440e+05 4.0000e-01
82 2.2026e-03 6.6000e-03 34 4.0000e-01 1.5067e+00 -5.7257e-09 -1.9828e-10 -5.0105e-09 7.0917e+05 4.0000e-01
83 2.2159e-03 6.6000e-03 34 4.0000e-01 1.5021e+00 -5.7257e-09 -1.9828e-10 -5.0105e-09 7.0400e+05 4.0000e-01
84 2.2292e-03 6.6000e-03 34 4.0000e-01 1.4977e+00 -5.7257e-09 -1.9828e-10 -5.0105e-09 6.9889e+05 4.0000e-01
