iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
39 1.6696e-01 5.6000e-01 29 4.0000e-01 1.7305e+00 -2.9201e-05 -1.1842e-06 -2.5502e-05 4.2200e+04 4.0000e-01
40 1.6811e-01 5.6000e-01 29 4.0000e-01 1.7246e+00 -2.9201e-05 -1.1842e-06 -2.5502e-05 4.0980e+04 4.0000e-01
41 1.6927e-01 5.8000e-01 30 4.0000e-01 1.7187e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.9844e+04 4.0000e-01
42 1.7044e-01 5.8000e-01 30 4.0000e-01 1.7128e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.8767e+04 4.0000e-01
43 1.7161e-01 5.8000e-01 30 4.0000e-01 1.7069e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.7742e+04 4.0000e-01
44 1.7278e-01 5.8000e-01 30 4.0000e-01 1.7011e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.6767e+04 4.0000e-01
45 1.7395e-01 5.8000e-01 30 4.0000e-01 1.6954e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.5838e+04 4.0000e-01
46 1.7513e-01 5.8000e-01 30 4.0000e-01 1.6897e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.4952e+04 4.0000e-01
47 1.7632e-01 5.8000e-01 30 4.0000e-01 1.6840e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.4106e+04 4.0000e-01
48 1.7750e-01 5.8000e-01 30 4.0000e-01 1.6783e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.3298e+04 4.0000e-01
49 1.7870e-01 5.8000e-01 30 4.0000e-01 1.6727e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.2524e+04 4.0000e-01
50 1.7989e-01 5.8000e-01 30 4.0000e-01 1.6672e+00 -3.2131e-05 -1.2564e-06 -2.8057e-05 3.1783e+04 4.0000e-01
51 1.8109e-01 6.0000e-01 31 4.0000e-01 1.6616e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0710e+04 4.0000e-01
52 1.8229e-01 6.0000e-01 31 4.0000e-01 1.6561e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0625e+04 4.0000e-01
53 1.8350e-01 6.0000e-01 31 4.0000e-01 1.6507e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0542e+04 4.0000e-01
54 1.8471e-01 6.0000e-01 31 4.0000e-01 1.6453e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0459e+04 4.0000e-01
55 1.8593e-01 6.0000e-01 31 4.0000e-01 1.6399e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0377e+04 4.0000e-01
56 1.8715e-01 6.0000e-01 31 4.0000e-01 1.6345e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0297e+04 4.0000e-01
57 1.8837e-01 6.0000e-01 31 4.0000e-01 1.6292e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0217e+04 4.0000e-01
58 1.8960e-01 6.0000e-01 31 4.0000e-01 1.6239e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0138e+04 4.0000e-01
59 1.9083e-01 6.0000e-01 31 4.0000e-01 1.6187e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 1.0060e+04 4.0000e-01
60 1.9207e-01 6.0000e-01 31 4.0000e-01 1.6135e+00 -3.5215e-05 -1.3294e-06 -3.0745e-05 9.9836e+03 4.0000e-01
61 1.9331e-01 6.2000e-01 32 4.0000e-01 1.6083e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.9091e+03 4.0000e-01
62 1.9455e-01 6.2000e-01 32 4.0000e-01 1.6031e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.8355e+03 4.0000e-01
63 1.9580e-01 6.2000e-01 32 4.0000e-01 1.5980e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.7628e+03 4.0000e-01
64 1.9705e-01 6.2000e-01 32 4.0000e-01 1.5929e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.6909e+03 4.0000e-01
65 1.9830e-01 6.2000e-01 32 3.9999e-01 1.5879e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.6198e+03 3.9999e-01
66 1.9956e-01 6.2000e-01 32 3.9999e-01 1.5829e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.5495e+03 3.9999e-01
67 2.0083e-01 6.2000e-01 32 3.9999e-01 1.5779e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.4801e+03 3.9999e-01
68 2.0210e-01 6.2000e-01 32 3.9999e-01 1.5729e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.4114e+03 3.9999e-01
69 2.0337e-01 6.2000e-01 32 3.9999e-01 1.5680e+00 -3.8452e-05 -1.4029e-06 -3.3566e-05 9.3435e+03 3.9999e-01
70 2.0464e-01 6.2000e-01 32 3.9999e-01 1.5631e+00 -3.8452e-05 -1.4029e-06 -3.3565e-05 9.2763e+03 3.9999e-01
71 2.0592e-01 6.4000e-01 33 3.9999e-01 1.5582e+00 -4.1841e-05 -1.4769e-06 -3.6517e-05 9.2112e+03 3.9999e-01
72 2.0721e-01 6.4000e-01 33 3.9999e-01 1.5534e+00 -4.1840e-05 -1.4769e-06 -3.6517e-05 9.1468e+03 3.9999e-01
73 2.0849e-01 6.4000e-01 33 3.9999e-01 1.5486e+00 -4.1840e-05 -1.4769e-06 -3.6517e-05 9.0831e+03 3.9999e-01
74 2.0978e-01 6.4000e-01 33 3.9999e-01 1.5438e+00 -4.1840e-05 -1.4769e-06 -3.6517e-05 9.0201e+03 3.9999e-01
75 2.1108e-01 6.4000e-01 33 3.9999e-01 1.5391e+00 -4.1840e-05 -1.4769e-06 -3.6517e-05 8.9578e+03 3.9999e-01
