iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-03 5.0000e-03 21 4.0000e-01 1.5492e+01 -2.4115e-09 -1.3928e-10 -2.1107e-09 0.0000e+00 0.0000e+00
1 1.2516e-03 5.2500e-03 22 4.0000e-01 1.5492e+01 -2.8025e-09 -1.5395e-10 -2.4529e-09 1.1474e+09 4.0000e-01
2 1.2532e-03 5.5000e-03 23 4.0000e-01 1.5492e+01 -3.2337e-09 -1.6936e-10 -2.8302e-09 4.6429e+08 4.0000e-01
3 1.2548e-03 5.7500e-03 24 4.0000e-01 1.5492e+01 -3.7069e-09 -1.8550e-10 -3.2442e-09 2.9140e+08 4.0000e-01
4 1.2565e-03 6.0000e-03 25 4.0000e-01 1.5492e+01 -4.2242e-09 -2.0237e-10 -3.6969e-09 2.3042e+08 4.0000e-01
5 1.2581e-03 6.2500e-03 26 4.0000e-01 1.5492e+01 -4.7874e-09 -2.1998e-10 -4.1897e-09 1.8058e+08 4.0000e-01
6 1.2597e-03 6.5000e-03 27 4.0000e-01 1.5492e+01 -5.3985e-09 -2.3832e-10 -4.7245e-09 6.0905e+07 4.0000e-01
7 1.2613e-03 6.7500e-03 28 4.0000e-01 1.5492e+01 -6.0595e-09 -2.5740e-10 -5.3029e-09 5.6574e+07 4.0000e-01
8 1.2629e-03 7.0000e-03 29 4.0000e-01 1.5492e+01 -6.7724e-09 -2.7721e-10 -5.9267e-09 5.2831e+07 4.0000e-01
9 1.2645e-03 7.2500e-03 30 4.0000e-01 1.5492e+01 -7.5391e-09 -2.9775e-10 -6.5976e-09 4.8992e+07 4.0000e-01
10 1.2661e-03 7.5000e-03 31 4.0000e-01 1.5492e+01 -8.3615e-09 -3.1902e-10 -7.3172e-09 4.6028e+07 4.0000e-01
11 1.2678e-03 7.7500e-03 32 4.0000e-01 1.5492e+01 -9.2417e-09 -3.4103e-10 -8.0874e-09 4.2883e+07 4.0000e-01
12 1.2694e-03 8.0000e-03 33 4.0000e-01 1.5492e+01 -1.0181e-08 -3.6378e-10 -8.9097e-09 4.0498e+07 4.0000e-01
13 1.2710e-03 8.2500e-03 34 4.0000e-01 1.5492e+01 -1.1183e-08 -3.8725e-10 -9.7860e-09 3.7876e+07 4.0000e-01
14 1.2726e-03 8.5000e-03 35 4.0000e-01 1.5492e+01 -1.2248e-08 -4.1146e-10 -1.0718e-08 3.5927e+07 4.0000e-01
15 1.2742e-03 8.7500e-03 36 4.0000e-01 1.5492e+01 -1.3378e-08 -4.3641e-10 -1.1707e-08 3.3708e+07 4.0000e-01
16 1.2758e-03 9.0000e-03 37 4.0000e-01 1.5492e+01 -1.4576e-08 -4.6208e-10 -1.2755e-08 3.2093e+07 4.0000e-01
17 1.2774e-03 9.2500e-03 38 4.0000e-01 1.5492e+01 -1.5844e-08 -4.8849e-10 -1.3865e-08 3.0215e+07 4.0000e-01
18 1.2790e-03 9.5000e-03 39 4.0000e-01 1.5492e+01 -1.7183e-08 -5.1564e-10 -1.5036e-08 2.8859e+07 4.0000e-01
19 1.2807e-03 9.7500e-03 40 4.0000e-01 1.5492e+01 -1.8595e-08 -5.4351e-10 -1.6272e-08 2.7240e+07 4.0000e-01
20 1.2823e-03 1.0000e-02 41 4.0000e-01 1.5492e+01 -2.0083e-08 -5.7212e-10 -1.7573e-08 2.5767e+07 4.0000e-01
21 1.2839e-03 1.0250e-02 42 4.0000e-01 1.5492e+01 -2.1647e-08 -6.0147e-10 -1.8943e-08 2.4697e+07 4.0000e-01
22 1.2855e-03 1.0500e-02 43 4.0000e-01 1.5492e+01 -2.3291e-08 -6.3155e-10 -2.0381e-08 2.3416e+07 4.0000e-01
23 1.2871e-03 1.0750e-02 44 4.0000e-01 1.5492e+01 -2.5017e-08 -6.6236e-10 -2.1891e-08 2.2498e+07 4.0000e-01
24 1.2887e-03 1.1000e-02 45 4.0000e-01 1.5492e+01 -2.6825e-08 -6.9390e-10 -2.3473e-08 2.1375e+07 4.0000e-01
25 1.2903e-03 1.1250e-02 46 4.0000e-01 1.5492e+01 -2.8718e-08 -7.2618e-10 -2.5130e-08 2.0340e+07 4.0000e-01
26 1.2920e-03 1.1500e-02 47 4.0000e-01 1.5492e+01 -3.0699e-08 -7.5919e-10 -2.6863e-08 1.9596e+07 4.0000e-01
27 1.2936e-03 1.1750e-02 48 4.0000e-01 1.5492e+01 -3.2768e-08 -7.9293e-10 -2.8674e-08 1.8679e+07 4.0000e-01
28 1.2952e-03 1.2000e-02 49 4.0000e-01 1.5492e+01 -3.4929e-08 -8.2741e-10 -3.0564e-08 1.8030e+07 4.0000e-01
29 1.2968e-03 1.2250e-02 50 4.0000e-01 1.5492e+01 -3.7182e-08 -8.6262e-10 -3.2536e-08 1.7221e+07 4.0000e-01
30 1.2984e-03 1.2500e-02 51 4.0000e-01 1.5492e+01 -3.9530e-08 -8.9857e-10 -3.4591e-08 1.6466e+07 4.0000e-01
31 1.3000e-03 1.2750e-02 52 4.0000e-01 1.5492e+01 -4.1975e-08 -9.3524e-10 -3.6730e-08 1.5927e+07 4.0000e-01
32 1.3016e-03 1.3000e-02 53 4.0000e-01 1.5492e+01 -4.4519e-08 -9.7265e-10 -3.8956e-08 1.5252e+07 4.0000e-01
33 1.3033e-03 1.3250e-02 54 4.0000e-01 1.5492e+01 -4.7164e-08 -1.0108e-09 -4.1270e-08 1.4775e+07 4.0000e-01
34 1.3049e-03 1.3500e-02 55 4.0000e-01 1.5492e+01 -4.9911e-08 -1.0497e-09 -4.3674e-08 1.4170e+07 4.0000e-01
35 1.3065e-03 1.3750e-02 56 4.0000e-01 1.5492e+01 -5.2763e-08 -1.0893e-09 -4.6169e-08 1.3604e+07 4.0000e-01
36 1.3081e-03 1.4000e-02 57 4.0000e-01 1.5492e+01 -5.5721e-08 -1.1296e-09 -4.8758e-08 1.3201e+07 4.0000e-01
37 1.3097e-03 1.4250e-02 58 4.0000e-01 1.5492e+01 -5.8788e-08 -1.1707e-09 -5.1441e-08 1.2691e+07 4.0000e-01
38 1.3113e-03 1.4500e-02 59 4.0000e-01 1.5492e+01 -6.1965e-08 -1.2125e-09 -5.4221e-08 1.2331e+07 4.0000e-01
39 1.3129e-03 1.4750e-02 60 4.0000e-01 1.5492e+01 -6.5255e-08 -1.2551e-09 -5.7100e-08 1.1865e+07 4.0000e-01
40 1.3145e-03 1.5000e-02 61 4.0000e-01 1.5492e+01 -6.8660e-08 -1.2983e-09 -6.0079e-08 1.1430e+07 4.0000e-01
41 1.3162e-03 1.5250e-02 62 4.0000e-01 1.5492e+01 -7.2180e-08 -1.3423e-09 -6.3160e-08 1.1121e+07 4.0000e-01
42 1.3178e-03 1.5500e-02 63 4.0000e-01 1.5492e+01 -7.5819e-08 -1.3871e-09 -6.6344e-08 1.0723e+07 4.0000e-01
43 1.3194e-03 1.5750e-02 64 4.0000e-01 1.5492e+01 -7.9579e-08 -1.4326e-09 -6.9633e-08 1.0347e+07 4.0000e-01
44 1.3210e-03 1.6000e-02 65 4.0000e-01 1.5492e+01 -8.3460e-08 -1.4788e-09 -7.3029e-08 1.0081e+07 4.0000e-01
45 1.3226e-03 1.6250e-02 66 4.0000e-01 1.5492e+01 -8.7466e-08 -1.5257e-09 -7.6534e-08 9.7376e+06 4.0000e-01
46 1.3242e-03 1.6500e-02 67 4.0000e-01 1.5492e+01 -9.1598e-08 -1.5734e-09 -8.0150e-08 9.4956e+06 4.0000e-01
47 1.3258e-03 1.6750e-02 68 4.0000e-01 1.5492e+01 -9.5857e-08 -1.6218e-09 -8.3877e-08 9.1815e+06 4.0000e-01
48 1.3275e-03 1.7000e-02 69 4.0000e-01 1.5492e+01 -1.0025e-07 -1.6709e-09 -8.7718e-08 8.8818e+06 4.0000e-01
49 1.3291e-03 1.7250e-02 70 4.0000e-01 1.5492e+01 -1.0477e-07 -1.7208e-09 -9.1675e-08 8.6705e+06 4.0000e-01
50 1.3307e-03 1.7500e-02 71 4.0000e-01 1.5492e+01 -1.0942e-07 -1.7714e-09 -9.5749e-08 8.3961e+06 4.0000e-01
51 1.3323e-03 1.7750e-02 72 4.0000e-01 1.5492e+01 -1.1422e-07 -1.8227e-09 -9.9942e-08 8.1347e+06 4.0000e-01
52 1.3339e-03 1.8000e-02 73 4.0000e-01 1.5492e+01 -1.1915e-07 -1.8748e-09 -1.0425e-07 7.9492e+06 4.0000e-01
53 1.3355e-03 1.8250e-02 74 4.0000e-01 1.5492e+01 -1.2422e-07 -1.9276e-09 -1.0869e-07 7.7086e+06 4.0000e-01
54 1.3371e-03 1.8500e-02 75 4.0000e-01 1.5492e+01 -1.2943e-07 -1.9812e-09 -1.1325e-07 7.4778e+06 4.0000e-01
55 1.3388e-03 1.8750e-02 76 4.0000e-01 1.5492e+01 -1.3478e-07 -2.0354e-09 -1.1794e-07 7.3140e+06 4.0000e-01
56 1.3404e-03 1.9000e-02 77 4.0000e-01 1.5492e+01 -1.4028e-07 -2.0904e-09 -1.2275e-07 7.1007e+06 4.0000e-01
57 1.3420e-03 1.9250e-02 78 4.0000e-01 1.5492e+01 -1.4593e-07 -2.1462e-09 -1.2769e-07 6.9498e+06 4.0000e-01
58 1.3436e-03 1.9500e-02 79 4.0000e-01 1.5492e+01 -1.5173e-07 -2.2026e-09 -1.3276e-07 6.7519e+06 4.0000e-01
59 1.3452e-03 1.9750e-02 80 4.0000e-01 1.5492e+01 -1.5768e-07 -2.2598e-09 -1.3797e-07 6.5631e+06 4.0000e-01
60 1.3468e-03 2.0000e-02 81 4.0000e-01 1.5492e+01 -1.6378e-07 -2.3178e-09 -1.4331e-07 6.4288e+06 4.0000e-01
61 1.3484e-03 2.0250e-02 82 4.0000e-01 1.5492e+01 -1.7004e-07 -2.3764e-09 -1.4878e-07 6.2527e+06 4.0000e-01
62 1.3501e-03 2.0500e-02 83 4.0000e-01 1.5492e+01 -1.7645e-07 -2.4358e-09 -1.5440e-07 6.0838e+06 4.0000e-01
63 1.3517e-03 2.0750e-02 84 4.0000e-01 1.5492e+01 -1.8303e-07 -2.4960e-09 -1.6015e-07 5.9637e+06 4.0000e-01
64 1.3533e-03 2.0750e-02 84 4.0000e-01 1.5492e+01 -1.8303e-07 -2.4960e-09 -1.6015e-07 5.8483e+06 4.0000e-01
65 1.3549e-03 2.0750e-02 84 4.0000e-01 1.5492e+01 -1.8303e-07 -2.4960e-09 -1.6015e-07 5.6948e+06 4.0000e-01
