iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 5.0000e+02 5.0000e-01 26 4.0000e-01 1.0000e-03 -2.1337e-05 -9.7326e-07 -1.8643e-05 0.0000e+00 0.0000e+00
1 5.0050e+02 5.0000e-01 26 3.9996e-01 1.0000e-03 -2.1337e-05 -9.7326e-07 -1.8643e-05 4.4213e+03 3.9996e-01
2 5.0100e+02 5.0000e-01 26 3.9993e-01 1.0000e-03 -2.1332e-05 -9.7309e-07 -1.8639e-05 2.2106e+03 3.9993e-01
3 5.0150e+02 5.0000e-01 26 3.9989e-01 1.0000e-03 -2.1327e-05 -9.7292e-07 -1.8634e-05 1.4736e+03 3.9989e-01
4 5.0200e+02 5.0000e-01 26 3.9985e-01 1.0000e-03 -2.1323e-05 -9.7275e-07 -1.8630e-05 1.1052e+03 3.9985e-01
5 5.0250e+02 5.0000e-01 26 3.9982e-01 1.0000e-03 -2.1318e-05 -9.7258e-07 -1.8626e-05 8.8408e+02 3.9982e-01
6 5.0300e+02 5.0000e-01 26 3.9978e-01 1.0000e-03 -2.1313e-05 -9.7242e-07 -1.8622e-05 7.3669e+02 3.9978e-01
7 5.0350e+02 5.0000e-01 26 3.9974e-01 1.0000e-03 -2.1309e-05 -9.7225e-07 -1.8618e-05 6.3142e+02 3.9974e-01
8 5.0400e+02 5.0000e-01 26 3.9971e-01 1.0000e-03 -2.1304e-05 -9.7208e-07 -1.8614e-05 5.5246e+02 3.9971e-01
9 5.0450e+02 5.0000e-01 26 3.9967e-01 1.0000e-03 -2.1300e-05 -9.7191e-07 -1.8610e-05 4.9105e+02 3.9967e-01
10 5.0500e+02 5.0000e-01 26 3.9963e-01 1.0000e-03 -2.1295e-05 -9.7174e-07 -1.8605e-05 4.4192e+02 3.9963e-01
11 5.0550e+02 5.0000e-01 26 3.9959e-01 1.0000e-03 -2.1290e-05 -9.7157e-07 -1.8601e-05 4.0173e+02 3.9959e-01
12 5.0600e+02 5.0000e-01 26 3.9956e-01 1.0000e-03 -2.1286e-05 -9.7141e-07 -1.8597e-05 3.6823e+02 3.9956e-01
13 5.0650e+02 5.0000e-01 26 3.9952e-01 1.0000e-03 -2.1281e-05 -9.7124e-07 -1.8593e-05 3.3989e+02 3.9952e-01
14 5.0700e+02 5.0000e-01 26 3.9948e-01 1.0000e-03 -2.1276e-05 -9.7107e-07 -1.8589e-05 3.1559e+02 3.9948e-01
15 5.0750e+02 5.0000e-01 26 3.9945e-01 1.0000e-03 -2.1272e-05 -9.7090e-07 -1.8585e-05 2.9454e+02 3.9945e-01
16 5.0800e+02 5.0000e-01 26 3.9941e-01 1.0000e-03 -2.1267e-05 -9.7073e-07 -1.8581e-05 2.7611e+02 3.9941e-01
17 5.0850e+02 5.0000e-01 26 3.9937e-01 1.0000e-03 -2.1263e-05 -9.7056e-07 -1.8576e-05 2.5986e+02 3.9937e-01
18 5.0900e+02 5.0000e-01 26 3.9934e-01 1.0000e-03 -2.1258e-05 -9.7039e-07 -1.8572e-05 2.4541e+02 3.9934e-01
19 5.0950e+02 5.0000e-01 26 3.9930e-01 1.0000e-03 -2.1253e-05 -9.7023e-07 -1.8568e-05 2.3248e+02 3.9930e-01
20 5.1000e+02 5.0000e-01 26 3.9926e-01 1.0000e-03 -2.1249e-05 -9.7006e-07 -1.8564e-05 2.2084e+02 3.9926e-01
21 5.1050e+02 5.0000e-01 26 3.9923e-01 1.0000e-03 -2.1244e-05 -9.6989e-07 -1.8560e-05 2.1032e+02 3.9923e-01
22 5.1100e+02 5.0000e-01 26 3.9919e-01 1.0000e-03 -2.1239e-05 -9.6972e-07 -1.8556e-05 2.0075e+02 3.9919e-01
23 5.1150e+02 5.0000e-01 26 3.9915e-01 1.0000e-03 -2.1235e-05 -9.6955e-07 -1.8552e-05 1.9201e+02 3.9915e-01
24 5.1200e+02 5.0000e-01 26 3.9912e-01 1.0000e-03 -2.1230e-05 -9.6938e-07 -1.8547e-05 1.8400e+02 3.9912e-01
25 5.1250e+02 5.0000e-01 26 3.9908e-01 1.0000e-03 -2.1226e-05 -9.6922e-07 -1.8543e-05 1.7663e+02 3.9908e-01
26 5.1300e+02 5.0000e-01 26 3.9904e-01 1.0000e-03 -2.1221e-05 -9.6905e-07 -1.8539e-05 1.6983e+02 3.9904e-01
27 5.1350e+02 5.0000e-01 26 3.9901e-01 1.0000e-03 -2.1216e-05 -9.6888e-07 -1.8535e-05 1.6353e+02 3.9901e-01
28 5.1400e+02 5.0000e-01 26 3.9897e-01 1.0000e-03 -2.1212e-05 -9.6871e-07 -1.8531e-05 1.5768e+02 3.9897e-01
29 5.1450e+02 5.0000e-01 26 3.9893e-01 1.0000e-03 -2.1207e-05 -9.6854e-07 -1.8527e-05 1.5223e+02 3.9893e-01
30 5.1500e+02 5.0000e-01 26 3.9890e-01 1.0000e-03 -2.1202e-05 -9.6837e-07 -1.8523e-05 1.4715e+02 3.9890e-01
31 5.1550e+02 5.0000e-01 26 3.9886e-01 1.0000e-03 -2.1198e-05 -9.6820e-07 -1.8518e-05 1.4240e+02 3.9886e-01
32 5.1600e+02 5.0000e-01 26 3.9882e-01 1.0000e-03 -2.1193e-05 -9.6804e-07 -1.8514e-05 1.3794e+02 3.9882e-01
33 5.1650e+02 5.0000e-01 26 3.9879e-01 1.0000e-03 -2.1189e-05 -9.6787e-07 -1.8510e-05 1.3375e+02 3.9879e-01
34 5.1700e+02 5.0000e-01 26 3.9875e-01 1.0000e-03 -2.1184e-05 -9.6770e-07 -1.8506e-05 1.2981e+02 3.9875e-01
35 5.1750e+02 5.0000e-01 26 3.9871e-01 1.0000e-03 -2.1179e-05 -9.6753e-07 -1.8502e-05 1.2610e+02 3.9871e-01
36 5.1800e+02 5.0000e-01 26 3.9868e-01 1.0000e-03 -2.1175e-05 -9.6736e-07 -1.8498e-05 1.2259e+02 3.9868e-01
37 5.1850e+02 5.0000e-01 26 3.9864e-01 1.0000e-03 -2.1170e-05 -9.6719e-07 -1.8494e-05 1.1927e+02 3.9864e-01
38 5.1900e+02 5.0000e-01 26 3.9860e-01 1.0000e-03 -2.1165e-05 -9.6703e-07 -1.8489e-05 1.1612e+02 3.9860e-01
39 5.1950e+02 5.0000e-01 26 3.9857e-01 1.0000e-03 -2.1161e-05 -9.6686e-07 -1.8485e-05 1.1314e+02 3.9857e-01
40 5.2000e+02 5.0000e-01 26 3.9853e-01 1.0000e-03 -2.1156e-05 -9.6669e-07 -1.8481e-05 1.1031e+02 3.9853e-01
41 5.2050e+02 5.2000e-01 27 3.9865e-01 1.0000e-03 -2.3515e-05 -1.0329e-06 -2.0549e-05 1.0651e+02 3.9865e-01
42 5.2100e+02 5.2000e-01 27 3.9861e-01 1.0000e-03 -2.3510e-05 -1.0327e-06 -2.0544e-05 1.0226e+02 3.9861e-01
43 5.2150e+02 5.2000e-01 27 3.9857e-01 1.0000e-03 -2.3504e-05 -1.0325e-06 -2.0539e-05 9.8331e+01 3.9857e-01
44 5.2200e+02 5.2000e-01 27 3.9853e-01 1.0000e-03 -2.3499e-05 -1.0323e-06 -2.0534e-05 9.4694e+01 3.9853e-01
45 5.2250e+02 5.2000e-01 27 3.9850e-01 1.0000e-03 -2.3493e-05 -1.0321e-06 -2.0529e-05 7.2911e+01 3.9850e-01
46 5.2300e+02 5.2000e-01 27 3.9846e-01 1.0000e-03 -2.3488e-05 -1.0320e-06 -2.0524e-05 7.1353e+01 3.9846e-01
47 5.2350e+02 5.2000e-01 27 3.9842e-01 1.0000e-03 -2.3483e-05 -1.0318e-06 -2.0520e-05 6.9860e+01 3.9842e-01
48 5.2400e+02 5.2000e-01 27 3.9838e-01 1.0000e-03 -2.3477e-05 -1.0316e-06 -2.0515e-05 6.8427e+01 3.9838e-01
49 5.2450e+02 5.2000e-01 27 3.9834e-01 1.0000e-03 -2.3472e-05 -1.0314e-06 -2.0510e-05 6.7052e+01 3.9834e-01
50 5.2500e+02 5.2000e-01 27 3.9830e-01 1.0000e-03 -2.3466e-05 -1.0312e-06 -2.0505e-05 6.5730e+01 3.9830e-01
51 5.2550e+02 5.2000e-01 27 3.9826e-01 1.0000e-03 -2.3461e-05 -1.0310e-06 -2.0500e-05 6.4459e+01 3.9826e-01
52 5.2600e+02 5.2000e-01 27 3.9822e-01 1.0000e-03 -2.3455e-05 -1.0308e-06 -2.0495e-05 6.3235e+01 3.9822e-01
53 5.2650e+02 5.2000e-01 27 3.9818e-01 1.0000e-03 -2.3450e-05 -1.0306e-06 -2.0490e-05 6.2057e+01 3.9818e-01
54 5.2700e+02 5.2000e-01 27 3.9814e-01 1.0000e-03 -2.3445e-05 -1.0304e-06 -2.0485e-05 6.0921e+01 3.9814e-01
55 5.2750e+02 5.2000e-01 27 3.9810e-01 1.0000e-03 -2.3439e-05 -1.0302e-06 -2.0481e-05 5.9826e+01 3.9810e-01
56 5.2800e+02 5.2000e-01 27 3.9807e-01 1.0000e-03 -2.3434e-05 -1.0301e-06 -2.0476e-05 5.8769e+01 3.9807e-01
57 5.2850e+02 5.2000e-01 27 3.9803e-01 1.0000e-03 -2.3428e-05 -1.0299e-06 -2.0471e-05 6.0637e+01 3.9803e-01
58 5.2900e+02 5.2000e-01 27 3.9799e-01 1.0000e-03 -2.3423e-05 -1.0297e-06 -2.0466e-05 5.9600e+01 3.9799e-01
59 5.2950e+02 5.2000e-01 27 3.9795e-01 1.0000e-03 -2.3417e-05 -1.0295e-06 -2.0461e-05 5.8598e+01 3.9795e-01
60 5.3000e+02 5.2000e-01 27 3.9791e-01 1.0000e-03 -2.3412e-05 -1.0293e-06 -2.0456e-05 5.7628e+01 3.9791e-01
61 5.3050e+02 5.2000e-01 27 3.9787e-01 1.0000e-03 -2.3407e-05 -1.0291e-06 -2.0451e-05 5.6690e+01 3.9787e-01
62 5.3100e+02 5.2000e-01 27 3.9783e-01 1.0000e-03 -2.3401e-05 -1.0289e-06 -2.0446e-05 5.5783e+01 3.9783e-01
63 5.3150e+02 5.2000e-01 27 3.9779e-01 1.0000e-03 -2.3396e-05 -1.0287e-06 -2.0442e-05 5.4903e+01 3.9779e-01
64 5.3200e+02 5.2000e-01 27 3.9775e-01 1.0000e-03 -2.3390e-05 -1.0285e-06 -2.0437e-05 5.4051e+01 3.9775e-01
65 5.3250e+02 5.2000e-01 27 3.9771e-01 1.0000e-03 -2.3385e-05 -1.0283e-06 -2.0432e-05 5.3225e+01 3.9771e-01
66 5.3300e+02 5.2000e-01 27 3.9768e-01 1.0000e-03 -2.3379e-05 -1.0281e-06 -2.0427e-05 5.2424e+01 3.9768e-01
67 5.3350e+02 5.2000e-01 27 3.9764e-01 1.0000e-03 -2.3374e-05 -1.0280e-06 -2.0422e-05 5.1647e+01 3.9764e-01
68 5.3400e+02 5.2000e-01 27 3.9760e-01 1.0000e-03 -2.3369e-05 -1.0278e-06 -2.0417e-05 5.0892e+01 3.9760e-01
