iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
0 1.2500e-02 5.0000e-01 26 4.0000e-01 2.0000e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 0.0000e+00 0.0000e+00
1 1.2600e-02 5.0000e-01 26 4.0000e-01 1.9920e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.2110e+07 4.0000e-01
2 1.2700e-02 5.0000e-01 26 4.0000e-01 1.9842e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 1.1033e+07 4.0000e-01
3 1.2801e-02 5.0000e-01 26 4.0000e-01 1.9763e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 7.3407e+06 4.0000e-01
4 1.2902e-02 5.0000e-01 26 4.0000e-01 1.9686e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 5.4946e+06 4.0000e-01
5 1.3004e-02 5.0000e-01 26 4.0000e-01 1.9609e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 4.3870e+06 4.0000e-01
6 1.3106e-02 5.0000e-01 26 4.0000e-01 1.9532e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 3.6486e+06 4.0000e-01
7 1.3208e-02 5.0000e-01 26 4.0000e-01 1.9456e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 3.1212e+06 4.0000e-01
8 1.3311e-02 5.0000e-01 26 4.0000e-01 1.9381e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.7257e+06 4.0000e-01
9 1.3414e-02 5.0000e-01 26 4.0000e-01 1.9306e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.4181e+06 4.0000e-01
10 1.3518e-02 5.0000e-01 26 4.0000e-01 1.9232e+01 -2.1337e-05 -9.7326e-07 -1.8643e-05 2.1720e+06 4.0000e-01
11 1.3622e-02 5.2000e-01 27 4.0000e-01 1.9159e+01 -2.3804e-05 -1.0425e-06 -2.0795e-05 2.1757e+06 4.0000e-01
12 1.3726e-02 5.2000e-01 27 4.0000e-01 1.9086e+01 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.3387e+06 4.0000e-01
13 1.3831e-02 5.2000e-01 27 4.0000e-01 1.9013e+01 -2.3804e-05 -1.0425e-06 -2.0795e-05 1.2347e+06 4.0000e-01
