Nmax,Ric_adim,delta,exp,folder,phi_r,phi_top,remarks,sum_phi,tau_ic,dot_r
2000,7.251543607052428,40991.0,1.0,exp_1.00e+00_coeff_9.47e+02_radius_7.25e+00,0.3999400990358327,0.3999945044841414,,0.39998,0.0076607029252857475,946.5898466206274
2000,0.08102830612000098,278150.0,1.0,exp_1.00e+00_coeff_1.38e+03_radius_8.10e-02,0.3999999120916197,0.3999999879964437,,0.4,5.8623486468344e-05,1382.1816306294802
4995,497.54779474960253,1359.9,1.0,exp_1.00e+00_coeff_4.39e-01_radius_4.98e+02,0.28887798850161284,0.381350867797376,,0.36077,1133.8080520609099,0.4388289480262692
2001,0.03996971268873377,28060.0,1.0,exp_1.00e+00_coeff_6.89e+01_radius_4.00e-02,0.399999570247927,0.3999999412413871,,0.4,0.0005797925801289026,68.93795136158433
2001,0.0010129562416390117,4.0025,1.0,exp_1.00e+00_coeff_2.49e-04_radius_1.01e-03,0.3999345546760853,0.3999953428004597,,0.39997,4.062907848776091,0.00024931804494265214
2000,915.6345805480569,158340.0,1.0,exp_1.00e+00_coeff_2.98e+01_radius_9.16e+02,0.3978219013168688,0.3997693205465985,,0.39942,30.73304789973062,29.793158932215196
2001,55.95060687565035,10.952,1.0,exp_1.00e+00_coeff_9.65e-02_radius_5.60e+01,0.15906810273830618,0.31500502648154594,,0.23444,579.5327940879316,0.09654433268734237
2001,449.5743991842964,1205100.0,1.0,exp_1.00e+00_coeff_4.63e+02_radius_4.50e+02,0.3998591729549379,0.3999852092153894,,0.39996,0.9718922674110441,462.5763721547927
2000,0.008018342137010026,0.21938000000000002,1.0,exp_1.00e+00_coeff_1.08e-04_radius_8.02e-03,0.3891541118161975,0.3985501758395524,,0.39638,74.04338386468952,0.0001082924863572299
2001,0.3165296280068999,0.053552999999999996,1.0,exp_1.00e+00_coeff_5.51e-04_radius_3.17e-01,0.003394359655624734,0.3727639394790547,,0.20052,574.1400704019547,0.00055131081128913
2001,229.49381279857093,4121.0,1.0,exp_1.00e+00_coeff_3.05e+00_radius_2.29e+02,0.3795467177536291,0.3977146341905632,,0.39436,75.25548139566615,3.049529529842156
4999,891.1299616610569,0.40163000000000004,1.0,exp_1.00e+00_coeff_1.78e-02_radius_8.91e+02,0.061156980239787224,0.02768746875899486,,0.039543,50018.20282987301,0.017816113159684257
2000,0.36539335139894347,9.2068,1.0,exp_1.00e+00_coeff_1.97e-01_radius_3.65e-01,0.38825634714959495,0.3984630035088096,,0.39611,1.8518529308640388,0.1973122947881493
2001,0.0010831714954272844,530090.0,1.0,exp_1.00e+00_coeff_3.61e+01_radius_1.08e-03,0.3999999993965243,0.3999999999174759,,0.4,3.0023170142467068e-05,36.07785221505186
15000,955.2947549051654,0.077501,1.0,exp_1.00e+00_coeff_4.79e-04_radius_9.55e+02,0.009133698118497293,0.00034017236345573737,,0.00065823,1995217.8699997752,0.00047879220072606556
2000,0.016938671111542278,37914.0,1.0,exp_1.00e+00_coeff_3.95e+01_radius_1.69e-02,0.39999986514588215,0.3999999815680813,,0.4,0.00042911100166275704,39.47386817375184
2001,3.0092182878224016,0.050613,1.0,exp_1.00e+00_coeff_5.46e-04_radius_3.01e+00,0.0041487469753565,0.027564282693237185,,0.032816000000000005,5515.109558997648,0.000545631642604996
