,Ric_adim,tau_ic,exp,sum_phi,delta,Nmax,folder,remarks
0,0.0020417127499217412,0.0007122377721441586,1.0,0.4,9135.2,2000,exp_1.00e+00_coeff_2.87e+00_radius_2.04e-03,
0,26.543148879229552,0.40621438688463324,1.0,0.39936,4023.1,2000,exp_1.00e+00_coeff_6.53e+01_radius_2.65e+01,
0,252.5831348654195,5715.691855726552,1.0,0.013318,0.29117,4995,exp_1.00e+00_coeff_4.42e-02_radius_2.53e+02,
0,14.336850646700665,29.314258964250925,1.0,0.32038,13.525,2001,exp_1.00e+00_coeff_4.89e-01_radius_1.43e+01,
0,0.3017904601907568,7.397833814773512,1.0,0.37143000000000004,0.86711,2001,exp_1.00e+00_coeff_4.08e-02_radius_3.02e-01,
0,0.661817986854079,38.9367535025673,1.0,0.25772,0.1833,2000,exp_1.00e+00_coeff_1.70e-02_radius_6.62e-01,
0,3.138159098210799,193.82745418806155,1.0,0.09094400000000001,0.16195,2000,exp_1.00e+00_coeff_1.62e-02_radius_3.14e+00,
0,0.0022252534656306768,2.089076186632684e-06,1.0,0.4,2888100.0,2001,exp_1.00e+00_coeff_1.07e+03_radius_2.23e-03,
0,0.16695294788837198,4.461167194033936,1.0,0.38918,1.4498,2000,exp_1.00e+00_coeff_3.74e-02_radius_1.67e-01,
0,230.5993790368878,2.765090905584223,1.0,0.39948,44534.0,2001,exp_1.00e+00_coeff_8.34e+01_radius_2.31e+02,
0,104.99922858498948,563154.3197235258,1.0,0.00060032,20.230999999999998,2000,exp_1.00e+00_coeff_1.86e-04_radius_1.05e+02,
0,0.009544003410653151,0.001423829020537993,1.0,0.4,4570.0,2000,exp_1.00e+00_coeff_6.70e+00_radius_9.54e-03,
0,6.2565636887991305,0.07064346384040555,1.0,0.39958,1339.7,2000,exp_1.00e+00_coeff_8.86e+01_radius_6.26e+00,
0,22.68571664635984,4202.1708206011335,1.0,0.008638700000000001,0.085418,2000,exp_1.00e+00_coeff_5.40e-03_radius_2.27e+01,
0,1.5562922143170406,3437.940662723223,1.0,0.032512,0.024671000000000002,2001,exp_1.00e+00_coeff_4.53e-04_radius_1.56e+00,
0,0.009066081208644659,0.0006144002834594787,1.0,0.4,10588.0,2001,exp_1.00e+00_coeff_1.48e+01_radius_9.07e-03,
0,1.3642330476864317,12623.311776116083,1.0,0.018628,0.011970999999999999,1999,exp_1.00e+00_coeff_1.08e-04_radius_1.36e+00,
0,945.5627968549699,876.315319181302,1.0,0.36002,2229.4,2000,exp_1.00e+00_coeff_1.08e+00_radius_9.46e+02,
0,0.15914580922752342,0.01167495520178961,1.0,0.39997,562.62,2001,exp_1.00e+00_coeff_1.36e+01_radius_1.59e-01,
0,1.6032765488813583,3.177482545729754,1.0,0.36682,3.5853,2000,exp_1.00e+00_coeff_5.05e-01_radius_1.60e+00,
