,Nmax,Ric_adim,delta,exp,folder,phi_r,phi_top,remarks,sum_phi,tau_ic,dot_r
0,4000,10.0,0.30571,0.5,exp_5.00e-01_coeff_5.01e-01_radius_1.00e+01,0.07316060311023909,0.026765562763122364,,0.08382,398.1071705534973,0.012559432157547899
0,2000,0.0010217460164122856,202200.0,0.5,exp_5.00e-01_coeff_1.44e-01_radius_1.02e-03,0.3999999985561671,0.3999999997492909,,0.4,5.069138199254035e-05,10.078103774746602
0,2000,5.525982072151029,0.037975,0.5,exp_5.00e-01_coeff_5.86e-02_radius_5.53e+00,0.010388753930660187,0.00037612563678524063,,0.014558000000000001,8893.528604219702,0.0003106743295079257
0,2000,0.10524797468844974,675250.0,0.5,exp_5.00e-01_coeff_2.69e+01_radius_1.05e-01,0.3999999554655373,0.399999992277551,,0.4,1.5252234177890657e-05,3450.2477952054774
0,2000,13.6146672525437,13.895,0.5,exp_5.00e-01_coeff_2.17e+00_radius_1.36e+01,0.2663554363317091,0.3631845620865176,,0.32989,39.217966421781476,0.17357691505623526
0,5000,645.5643609825134,20.408,0.5,exp_5.00e-01_coeff_3.69e-01_radius_6.46e+02,0.006017787711992351,1.1262165570347095e-05,,0.0003773,3060433.22767429,0.00010546944059176486
0,2000,0.10910142638455374,48572.0,0.5,exp_5.00e-01_coeff_7.49e+00_radius_1.09e-01,0.39999935786873786,0.3999998886635321,,0.4,0.00021222662153145316,257.0399170407194
0,2000,1.153181204162645,0.5274,0.5,exp_5.00e-01_coeff_2.14e-01_radius_1.15e+00,0.10398403957253756,0.3603930554597188,,0.28496,28.990597351785112,0.019888883112159073
0,4000,10.0,38.291,0.5,exp_5.00e-01_coeff_3.16e+00_radius_1.00e+01,0.3410186400873261,0.3892388570967512,,0.37533,9.999999999999998,0.5000000000000001
0,2000,0.002420184953828011,49543000.0,0.5,exp_5.00e-01_coeff_8.71e+00_radius_2.42e-03,0.3999999999948015,0.39999999999910185,,0.4,7.722938278998088e-08,15668.809372784386
0,2000,0.011959582679837728,79.40899999999999,0.5,exp_5.00e-01_coeff_3.33e-02_radius_1.20e-02,0.3999569289516923,0.3999925219916979,,0.39998,0.12920750049816315,0.04628052796365234
0,2000,0.25540899358338515,184300.0,0.5,exp_5.00e-01_coeff_3.38e+01_radius_2.55e-01,0.3999996041583483,0.3999999318053923,,0.4,5.717157243572344e-05,2233.7062171110915
0,2000,0.09753967784651423,5620.6,0.5,exp_5.00e-01_coeff_2.28e+00_radius_9.75e-02,0.3999950384585689,0.3999991394948797,,0.4,0.0018322951389647658,26.616803093639017
