Ric_adim,coeff_velocity,exp,sum_phi,delta,r0_supercooling,tau_ic,r_dot
10.0,0.03162277660168379,0.5,0.015855,0.015091,6.800000000000001,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.018136000000000003,0.015068000000000002,7.199999999999999,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.020368,0.015101,7.6,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.022609,0.015493,8.0,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.023229,0.015425,8.100000000000001,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.023773,0.015080000000000001,8.2,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.024516999999999997,0.015453,8.299999999999999,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.025186,0.015534000000000001,8.4,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.026064,0.015216999999999998,8.5,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.026853,0.015165000000000001,8.6,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.027538,0.015352000000000001,8.7,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.028413,0.015183000000000002,8.8,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.029138999999999998,0.015247,8.9,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.029689999999999998,0.01592,9.0,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.030373,-0.016069,9.1,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.031235000000000002,0.0161,9.200000000000001,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.031689999999999996,0.01618,9.3,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.032368,-0.016319999999999998,9.399999999999999,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.033269,-0.016585,9.5,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.034172,-0.016958,9.6,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.035435,-0.016895,9.7,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.038597,0.015841,9.8,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.045136,0.032022,9.9,100000.00000000001,4.9999999999999996e-05
10.0,0.03162277660168379,0.5,0.26921,3.786,10.0,100000.00000000001,4.9999999999999996e-05
10.0,0.06309573444801933,0.5,0.0066405,0.03015,1.2,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.0066678,0.030097000000000002,0.4,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.006785300000000001,0.030310000000000004,0.8,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.0068571,0.030347000000000002,1.6,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.0070092,0.030379000000000003,2.0,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.007259699999999999,0.030452999999999997,2.4,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.0075777,0.030233999999999997,2.8000000000000003,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.008480799999999998,0.030414,3.2,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.009489200000000001,0.030420999999999997,3.5999999999999996,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.010702,0.030088999999999998,4.0,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.012331,0.030312000000000002,4.4,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.013913,0.030420999999999997,4.8,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.015503999999999999,0.030235,5.2,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.017490000000000002,0.030222000000000002,5.6000000000000005,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.019814,0.030206999999999998,6.0,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.022613,0.030161,6.4,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.025774000000000002,0.030112,6.800000000000001,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.028839999999999998,0.030184,7.199999999999999,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.032004000000000005,0.030075,7.6,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.035809,0.030266,8.0,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.03663,0.030438,8.100000000000001,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.037739,0.030284,8.2,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.038775,0.030414,8.299999999999999,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.039708,0.030227999999999998,8.4,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.040841,0.030194,8.5,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.042123,0.030423000000000002,8.6,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.043344,0.030295999999999997,8.7,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.044439,0.030363,8.8,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.045558,0.032605,8.9,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.046687,-0.032146,9.0,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.047831,0.030186,9.1,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.048977,-0.03204,9.200000000000001,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.050204,-0.032111,9.3,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.051471,0.030466000000000003,9.399999999999999,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.053187,-0.03247,9.5,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.055674,0.031191000000000003,9.6,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.058736000000000003,0.031981,9.7,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.064069,0.035174000000000004,9.8,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.084084,0.047851,9.9,25118.864315095798,0.00019905358527674865
10.0,0.06309573444801933,0.5,0.36213,23.866999999999997,10.0,25118.864315095798,0.00019905358527674865
10.0,0.1,0.5,0.010867,0.04793,0.8,10000.0,0.0005
10.0,0.1,0.5,0.010883,0.047889,0.0,10000.0,0.0005
10.0,0.1,0.5,0.010916,0.047952,0.4,10000.0,0.0005
10.0,0.1,0.5,0.010948000000000001,0.048303,1.2,10000.0,0.0005
10.0,0.1,0.5,0.010967,0.047951,1.6,10000.0,0.0005
10.0,0.1,0.5,0.011188,0.048219,2.0,10000.0,0.0005
10.0,0.1,0.5,0.011442,0.048003,2.4,10000.0,0.0005
10.0,0.1,0.5,0.012133,0.04813,2.8000000000000003,10000.0,0.0005
10.0,0.1,0.5,0.012749,0.047982,3.2,10000.0,0.0005
10.0,0.1,0.5,0.013933000000000001,0.048219,3.5999999999999996,10000.0,0.0005
10.0,0.1,0.5,0.015408000000000002,0.048154,4.0,10000.0,0.0005
10.0,0.1,0.5,0.017259,0.047949,4.4,10000.0,0.0005
10.0,0.1,0.5,0.019622999999999998,0.047987,4.8,10000.0,0.0005
10.0,0.1,0.5,0.022192,0.048027,5.2,10000.0,0.0005
10.0,0.1,0.5,0.024896,0.048159,5.6000000000000005,10000.0,0.0005
10.0,0.1,0.5,0.027692,0.048136,6.0,10000.0,0.0005
10.0,0.1,0.5,0.030987,0.048219,6.4,10000.0,0.0005
10.0,0.1,0.5,0.034602999999999995,0.048146,6.800000000000001,10000.0,0.0005
10.0,0.1,0.5,0.038694,0.048154,7.199999999999999,10000.0,0.0005
10.0,0.1,0.5,0.043611000000000004,0.048219,7.6,10000.0,0.0005
10.0,0.1,0.5,0.048693,0.048047,8.0,10000.0,0.0005
10.0,0.1,0.5,0.049708999999999996,0.047889999999999995,8.100000000000001,10000.0,0.0005
10.0,0.1,0.5,0.051398,0.048079000000000004,8.2,10000.0,0.0005
10.0,0.1,0.5,0.052444000000000005,0.048224,8.299999999999999,10000.0,0.0005
10.0,0.1,0.5,0.054100999999999996,0.048147,8.4,10000.0,0.0005
10.0,0.1,0.5,0.05513,0.055151,8.5,10000.0,0.0005
10.0,0.1,0.5,0.056392,0.054966999999999995,8.6,10000.0,0.0005
10.0,0.1,0.5,0.05807999999999999,0.048158,8.7,10000.0,0.0005
10.0,0.1,0.5,0.059185,-0.054471000000000006,8.8,10000.0,0.0005
10.0,0.1,0.5,0.060520000000000004,-0.054444000000000006,8.9,10000.0,0.0005
10.0,0.1,0.5,0.062341999999999995,0.048221,9.0,10000.0,0.0005
10.0,0.1,0.5,0.06350800000000001,-0.055060000000000005,9.1,10000.0,0.0005
10.0,0.1,0.5,0.065095,0.048466,9.200000000000001,10000.0,0.0005
10.0,0.1,0.5,0.067379,0.058168,9.3,10000.0,0.0005
10.0,0.1,0.5,0.069222,0.049354,9.399999999999999,10000.0,0.0005
10.0,0.1,0.5,0.071707,0.050332999999999996,9.5,10000.0,0.0005
10.0,0.1,0.5,0.07681,0.052883000000000006,9.6,10000.0,0.0005
10.0,0.1,0.5,0.083343,0.055911,9.7,10000.0,0.0005
10.0,0.1,0.5,0.094485,0.064919,9.8,10000.0,0.0005
10.0,0.1,0.5,0.12408,0.10219,9.9,10000.0,0.0005
10.0,0.1,0.5,0.38451,59.964,10.0,10000.0,0.0005
10.0,0.19952623149688797,0.5,0.024426,0.098484,0.0,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.024451,0.09852899999999999,0.8,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.024469,0.09864099999999999,0.4,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.024508000000000002,0.098686,1.2,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.02452,0.098596,1.6,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.0246,0.09852799999999999,2.0,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.024988999999999997,0.098663,2.4,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.025716000000000003,0.098679,2.8000000000000003,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.026382,0.098773,3.2,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.027788,0.098862,3.5999999999999996,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.029369,0.098703,4.0,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.031445999999999995,0.098709,4.4,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.034112,0.098621,4.8,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.037512000000000004,0.09865399999999999,5.2,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.041335000000000004,0.09871,5.6000000000000005,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.045834,0.098802,6.0,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.050983999999999995,0.098995,6.4,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.056465999999999995,0.09877999999999999,6.800000000000001,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.062585,0.098924,7.199999999999999,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.068695,0.09854199999999999,7.6,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.075822,0.09896,8.0,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.07743,0.098599,8.100000000000001,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.079648,0.099037,8.2,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.081361,0.098985,8.299999999999999,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.083703,0.09918400000000001,8.4,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.085298,0.099137,8.5,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.087245,0.09943099999999999,8.6,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.08988600000000001,0.099784,8.7,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.091776,0.099938,8.8,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.094012,0.10054,8.9,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.09702100000000001,0.10178,9.0,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.099813,0.10272,9.1,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.10275,0.1044,9.200000000000001,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.1076,0.10826,9.3,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.11258,0.1124,9.399999999999999,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.11900999999999999,0.11899000000000001,9.5,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.13016,0.13139,9.6,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.14343,0.14887,9.7,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.16915,0.20531,9.8,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.22315,0.46052,9.9,2511.88643150958,0.0019905358527674867
10.0,0.19952623149688797,0.5,0.39605999999999997,235.4,10.0,2511.88643150958,0.0019905358527674867
10.0,0.31622776601683794,0.5,0.044182,0.16538,0.0,1000.0,0.005
10.0,0.31622776601683794,0.5,0.044197,0.16549,0.8,1000.0,0.005
10.0,0.31622776601683794,0.5,0.044294,0.16558,1.6,1000.0,0.005
10.0,0.31622776601683794,0.5,0.044304,0.16544,2.0,1000.0,0.005
10.0,0.31622776601683794,0.5,0.04431,0.16564,0.4,1000.0,0.005
10.0,0.31622776601683794,0.5,0.044334,0.16574,1.2,1000.0,0.005
10.0,0.31622776601683794,0.5,0.044701,0.16568,2.4,1000.0,0.005
10.0,0.31622776601683794,0.5,0.045127999999999995,0.16549,2.8000000000000003,1000.0,0.005
10.0,0.31622776601683794,0.5,0.046017,0.16577,3.2,1000.0,0.005
10.0,0.31622776601683794,0.5,0.047088,0.1656,3.5999999999999996,1000.0,0.005
10.0,0.31622776601683794,0.5,0.048639,0.16541,4.0,1000.0,0.005
10.0,0.31622776601683794,0.5,0.050963,0.16534000000000001,4.4,1000.0,0.005
10.0,0.31622776601683794,0.5,0.05375800000000001,0.16538,4.8,1000.0,0.005
10.0,0.31622776601683794,0.5,0.057120000000000004,0.16532,5.2,1000.0,0.005
10.0,0.31622776601683794,0.5,0.061466,0.16567,5.6000000000000005,1000.0,0.005
10.0,0.31622776601683794,0.5,0.066419,0.1657,6.0,1000.0,0.005
10.0,0.31622776601683794,0.5,0.072072,0.16552,6.4,1000.0,0.005
10.0,0.31622776601683794,0.5,0.07901699999999999,0.16573,6.800000000000001,1000.0,0.005
10.0,0.31622776601683794,0.5,0.086479,0.16537000000000002,7.199999999999999,1000.0,0.005
10.0,0.31622776601683794,0.5,0.095057,0.16591,7.6,1000.0,0.005
10.0,0.31622776601683794,0.5,0.10394,0.16605999999999999,8.0,1000.0,0.005
10.0,0.31622776601683794,0.5,0.10680999999999999,0.16702,8.100000000000001,1000.0,0.005
10.0,0.31622776601683794,0.5,0.10926,0.16702999999999998,8.2,1000.0,0.005
10.0,0.31622776601683794,0.5,0.11225999999999998,0.16799,8.299999999999999,1000.0,0.005
10.0,0.31622776601683794,0.5,0.11467000000000001,0.16851,8.4,1000.0,0.005
10.0,0.31622776601683794,0.5,0.11797,0.16993,8.5,1000.0,0.005
10.0,0.31622776601683794,0.5,0.12055,0.17097,8.6,1000.0,0.005
10.0,0.31622776601683794,0.5,0.12334,0.17201,8.7,1000.0,0.005
10.0,0.31622776601683794,0.5,0.12730999999999998,0.17499,8.8,1000.0,0.005
10.0,0.31622776601683794,0.5,0.13079000000000002,0.17715999999999998,8.9,1000.0,0.005
10.0,0.31622776601683794,0.5,0.13573,0.18199,9.0,1000.0,0.005
10.0,0.31622776601683794,0.5,0.14,0.18642999999999998,9.1,1000.0,0.005
10.0,0.31622776601683794,0.5,0.1449,0.19252,9.200000000000001,1000.0,0.005
10.0,0.31622776601683794,0.5,0.15277000000000002,0.20534000000000002,9.3,1000.0,0.005
10.0,0.31622776601683794,0.5,0.16041,0.22046999999999997,9.399999999999999,1000.0,0.005
10.0,0.31622776601683794,0.5,0.17257,0.25281,9.5,1000.0,0.005
10.0,0.31622776601683794,0.5,0.18642,0.30117,9.6,1000.0,0.005
10.0,0.31622776601683794,0.5,0.20879,0.40879,9.7,1000.0,0.005
10.0,0.31622776601683794,0.5,0.24538000000000001,0.6734399999999999,9.8,1000.0,0.005
10.0,0.31622776601683794,0.5,0.30099000000000004,1.3966,9.9,1000.0,0.005
10.0,0.31622776601683794,0.5,0.39843,589.17,10.0,1000.0,0.005
10.0,0.5011872336272722,0.5,0.08382,0.30571,0.0,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.083869,0.30594,0.8,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.08390700000000001,0.30573,2.0,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.083954,0.30617,1.6,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.084026,0.30635999999999997,0.4,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.084133,0.30651,1.2,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.084302,0.30638000000000004,2.4,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.084505,0.30596,2.8000000000000003,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.085384,0.30657,3.2,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.086176,0.30615,3.5999999999999996,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.087369,0.30575,4.0,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.089538,0.30638000000000004,4.4,398.1071705534973,0.012559432157547899
10.0,0.5011872336272722,0.5,0.09193,0.30594,4.8,398.1071705534973,0.012559432157547899
