,Nmax,Ric_adim,delta,exp,folder,phi_r,phi_top,remarks,sum_phi,tau_ic,dot_r,logdot_r,logr,dR
0,10000,316.22776601683796,0.13050273706855928,0.5,exp_5.00e-01_coeff_1.41e+00_radius_3.16e+02,0.03473905284716061,0.004172817891816115,,0.011922,50000.0,0.00316227766016838,-2.5,2.5,0.0316227766016838
0,4995,10.0,8217025.726399075,0.5,exp_5.00e-01_coeff_1.41e+03_radius_1.00e+01,0.3999996632967938,0.3999999470036415,,0.4,5e-05,100000.0,5.0,1.0,0.002002002002002002
0,4995,10.0,0.1260637421736198,1.0,exp_1.00e+00_coeff_3.16e-03_radius_1.00e+01,0.021138034202219824,0.0038141826973413506,,0.028727,3162.277660168379,0.00316227766016838,-2.5,1.0,0.002002002002002002
0,14995,100.0,348.0766779228448,1.0,exp_1.00e+00_coeff_5.62e-01_radius_1.00e+02,0.3077336118353867,0.3863637123813276,,0.36965,177.82794100389228,0.5623413251903491,-0.25,2.0,0.006668889629876626
0,10000,100.0,0.12453679754534741,1.0,exp_1.00e+00_coeff_3.16e-03_radius_1.00e+02,0.02407461095671215,0.0037910760096846467,,0.007773100000000001,31622.776601683792,0.0031622776601683794,-2.5,2.0,0.01
0,20000,100.0,25.238989440233514,1.0,exp_1.00e+00_coeff_1.00e-01_radius_1.00e+02,0.15699378104327755,0.25116037907344924,,0.2347,1000.0,0.1,-1.0,2.0,0.005
0,10000,31.622776601683793,0.125379048696675,0.5,exp_5.00e-01_coeff_4.47e-01_radius_3.16e+01,0.0347250633835412,0.004276647837296975,,0.018042,5000.0,0.0031622776601683794,-2.5,1.5,0.0031622776601683794
0,19999,100.0,0.038392702239074296,0.5,exp_5.00e-01_coeff_2.51e-01_radius_1.00e+02,0.010492188355753608,0.0003868332951084685,,0.0017823000000000001,158113.88300841898,0.0003162277660168379,-3.5,2.0,0.005000250012500625
0,10000,31.62277660168379,0.25021267156647414,0.5,exp_5.00e-01_coeff_7.95e-01_radius_3.16e+01,0.06466022266945393,0.015907432915913344,,0.048171,1581.1388300841895,0.01,-2.0,1.5,0.003162277660168379
0,4995,10.0,0.25244425079863164,1.0,exp_1.00e+00_coeff_1.00e-02_radius_1.00e+01,0.041471223827201135,0.015817276497996247,,0.060214,1000.0,0.01,-2.0,1.0,0.002002002002002002
0,10000,31.622776601683793,0.03800964618707526,1.0,exp_1.00e+00_coeff_3.16e-04_radius_3.16e+01,0.005869334557526029,0.00034854129244710213,,0.0028739,100000.0,0.00031622776601683794,-3.5,1.5,0.0031622776601683794
0,5000,10.0,0.021437698624927566,1.0,exp_1.00e+00_coeff_1.00e-04_radius_1.00e+01,0.0016790297787223631,0.0001094033038856468,,0.0043979,100000.0,0.0001,-4.0,1.0,0.002
0,10000,31.622776601683796,0.0212593511336167,0.5,exp_5.00e-01_coeff_7.95e-02_radius_3.16e+01,0.005849884628915225,0.00012111614692233984,,0.0017065000000000001,158113.88300841895,0.00010000000000000002,-4.0,1.5,0.00316227766016838
0,10000,316.22776601683796,0.12974874925008242,1.0,exp_1.00e+00_coeff_3.16e-03_radius_3.16e+02,0.0241495981181048,0.003717490672301982,,0.0060557,100000.0,0.00316227766016838,-2.5,2.5,0.0316227766016838
0,10000,100.0,0.06783413724240539,1.0,exp_1.00e+00_coeff_1.00e-03_radius_1.00e+02,0.013180003353077674,0.0011203424013245256,,0.0029051,100000.0,0.001,-3.0,2.0,0.01
0,10001,31.622776601683793,0.1250861486047108,1.0,exp_1.00e+00_coeff_3.16e-03_radius_3.16e+01,0.023589057854969564,0.0038283654665846045,,0.013075999999999999,10000.0,0.0031622776601683794,-2.5,1.5,0.003161961464021977
0,15000,31.622776601683793,0.00722734903031519,1.0,exp_1.00e+00_coeff_1.00e-05_radius_3.16e+01,0.00019709110439003477,1.0625807169040158e-05,,0.0004504,3162277.660168379,1e-05,-5.0,1.5,0.0021081851067789193
0,10000,100.0,0.06790266484280447,0.5,exp_5.00e-01_coeff_4.47e-01_radius_1.00e+02,0.01898171905066537,0.0012494679630215,,0.0046225,50000.0,0.001,-3.0,2.0,0.01
