iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
39 1.3129e-02 1.4750e-01 60 4.0000e-01 1.5492e+01 -6.4409e-06 -1.2379e-07 -5.6351e-06 1.1960e+06 4.0000e-01
40 1.3145e-02 1.5000e-01 61 4.0000e-01 1.5492e+01 -6.7738e-06 -1.2800e-07 -5.9264e-06 1.1524e+06 4.0000e-01
41 1.3162e-02 1.5250e-01 62 4.0000e-01 1.5492e+01 -7.1179e-06 -1.3228e-07 -6.2274e-06 1.1215e+06 4.0000e-01
42 1.3178e-02 1.5500e-01 63 4.0000e-01 1.5492e+01 -7.4733e-06 -1.3662e-07 -6.5383e-06 1.0817e+06 4.0000e-01
43 1.3194e-02 1.5750e-01 64 4.0000e-01 1.5492e+01 -7.8402e-06 -1.4103e-07 -6.8592e-06 1.0442e+06 4.0000e-01
44 1.3210e-02 1.6000e-01 65 4.0000e-01 1.5492e+01 -8.2187e-06 -1.4550e-07 -7.1903e-06 1.0175e+06 4.0000e-01
45 1.3226e-02 1.6250e-01 66 4.0000e-01 1.5492e+01 -8.6090e-06 -1.5005e-07 -7.5317e-06 9.8319e+05 4.0000e-01
46 1.3242e-02 1.6500e-01 67 4.0000e-01 1.5492e+01 -9.0112e-06 -1.5466e-07 -7.8836e-06 9.5896e+05 4.0000e-01
47 1.3258e-02 1.6750e-01 68 4.0000e-01 1.5492e+01 -9.4256e-06 -1.5933e-07 -8.2460e-06 9.2748e+05 4.0000e-01
48 1.3275e-02 1.7000e-01 69 4.0000e-01 1.5492e+01 -9.8523e-06 -1.6407e-07 -8.6193e-06 8.9764e+05 4.0000e-01
49 1.3291e-02 1.7250e-01 70 4.0000e-01 1.5492e+01 -1.0291e-05 -1.6888e-07 -9.0034e-06 8.7648e+05 4.0000e-01
50 1.3307e-02 1.7500e-01 71 4.0000e-01 1.5492e+01 -1.0743e-05 -1.7375e-07 -9.3985e-06 8.4900e+05 4.0000e-01
51 1.3323e-02 1.7750e-01 72 4.0000e-01 1.5492e+01 -1.1208e-05 -1.7868e-07 -9.8048e-06 8.2288e+05 4.0000e-01
52 1.3339e-02 1.8000e-01 73 4.0000e-01 1.5492e+01 -1.1685e-05 -1.8368e-07 -1.0222e-05 8.0430e+05 4.0000e-01
53 1.3355e-02 1.8250e-01 74 4.0000e-01 1.5492e+01 -1.2176e-05 -1.8875e-07 -1.0652e-05 7.8017e+05 4.0000e-01
54 1.3371e-02 1.8500e-01 75 4.0000e-01 1.5492e+01 -1.2680e-05 -1.9388e-07 -1.1092e-05 7.6311e+05 4.0000e-01
55 1.3388e-02 1.8750e-01 76 4.0000e-01 1.5492e+01 -1.3197e-05 -1.9907e-07 -1.1545e-05 7.4077e+05 4.0000e-01
56 1.3404e-02 1.9000e-01 77 4.0000e-01 1.5492e+01 -1.3728e-05 -2.0433e-07 -1.2009e-05 7.1946e+05 4.0000e-01
57 1.3420e-02 1.9250e-01 78 4.0000e-01 1.5492e+01 -1.4272e-05 -2.0965e-07 -1.2485e-05 7.0435e+05 4.0000e-01
58 1.3436e-02 1.9500e-01 79 4.0000e-01 1.5492e+01 -1.4831e-05 -2.1504e-07 -1.2974e-05 6.8456e+05 4.0000e-01
59 1.3452e-02 1.9750e-01 80 4.0000e-01 1.5492e+01 -1.5403e-05 -2.2049e-07 -1.3474e-05 6.6566e+05 4.0000e-01
60 1.3468e-02 2.0000e-01 81 4.0000e-01 1.5492e+01 -1.5990e-05 -2.2600e-07 -1.3987e-05 6.5220e+05 4.0000e-01
61 1.3484e-02 2.0250e-01 82 4.0000e-01 1.5492e+01 -1.6591e-05 -2.3157e-07 -1.4513e-05 6.3460e+05 4.0000e-01
62 1.3501e-02 2.0500e-01 83 4.0000e-01 1.5492e+01 -1.7206e-05 -2.3721e-07 -1.5051e-05 6.1774e+05 4.0000e-01
63 1.3517e-02 2.0750e-01 84 4.0000e-01 1.5492e+01 -1.7836e-05 -2.4291e-07 -1.5603e-05 6.0571e+05 4.0000e-01
64 1.3533e-02 2.0750e-01 84 4.0000e-01 1.5492e+01 -1.7836e-05 -2.4291e-07 -1.5603e-05 5.9414e+05 4.0000e-01
65 1.3549e-02 2.0750e-01 84 4.0000e-01 1.5492e+01 -1.7836e-05 -2.4291e-07 -1.5603e-05 5.8300e+05 4.0000e-01
66 1.3565e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.6402e+05 4.0000e-01
67 1.3581e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.5358e+05 4.0000e-01
68 1.3597e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.4353e+05 4.0000e-01
69 1.3613e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.3384e+05 4.0000e-01
70 1.3630e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.2449e+05 4.0000e-01
71 1.3646e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.1545e+05 4.0000e-01
72 1.3662e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 5.0278e+05 4.0000e-01
73 1.3678e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 4.9432e+05 4.0000e-01
74 1.3694e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 4.8614e+05 4.0000e-01
75 1.3710e-02 2.1000e-01 85 4.0000e-01 1.5492e+01 -1.8481e-05 -2.4867e-07 -1.6167e-05 4.7822e+05 4.0000e-01
76 1.3726e-02 2.1250e-01 86 4.0000e-01 1.5492e+01 -1.9141e-05 -2.5449e-07 -1.6744e-05 4.5678e+05 4.0000e-01
77 1.3743e-02 2.1250e-01 86 4.0000e-01 1.5492e+01 -1.9141e-05 -2.5449e-07 -1.6744e-05 4.4927e+05 4.0000e-01
78 1.3759e-02 2.1250e-01 86 4.0000e-01 1.5492e+01 -1.9141e-05 -2.5449e-07 -1.6744e-05 4.4201e+05 4.0000e-01
